       X           Y
 0.299750E+03 0.223905E+00    
 0.299776E+03 0.201517E+00    
 0.296297E+03 0.212685E+00    
 0.164652E+04 0.958953E-01    
 0.298094E+03 0.156728E+00    
 0.308467E+03 0.179193E+00    
 0.311929E+03 0.182951E+00    
 0.317128E+03 0.182989E+00    
 0.320590E+03 0.186747E+00    
 0.324039E+03 0.201698E+00    
 0.327471E+03 0.231574E+00    
 0.330911E+03 0.253988E+00    
 0.330868E+03 0.291301E+00    
 0.330820E+03 0.332345E+00    
 0.332510E+03 0.369671E+00    
 0.330721E+03 0.418166E+00    
 0.337593E+03 0.470456E+00    
 0.335895E+03 0.440592E+00    
 0.330747E+03 0.395778E+00    
 0.330803E+03 0.347271E+00    
 0.330846E+03 0.309958E+00    
 0.330889E+03 0.272644E+00    
 0.322289E+03 0.216610E+00    
 0.341116E+03 0.421974E+00    
 0.341154E+03 0.388393E+00    
 0.344664E+03 0.351105E+00    
 0.348173E+03 0.313818E+00    
 0.348186E+03 0.302624E+00    
 0.348225E+03 0.269042E+00    
 0.344646E+03 0.366031E+00    
 0.346517E+03 0.246642E+00    
 0.348285E+03 0.216804E+00    
 0.351786E+03 0.186979E+00    
 0.351820E+03 0.157129E+00    
 0.358791E+03 0.123599E+00    
 0.367491E+03 0.938131E-01    
 0.381373E+03 0.789913E-01    
 0.390043E+03 0.753246E-01    
 0.410849E+03 0.680172E-01    
 0.400450E+03 0.679396E-01    
 0.424713E+03 0.681207E-01    
 0.438582E+03 0.644928E-01    
 0.455918E+03 0.608909E-01    
 0.481897E+03 0.760101E-01    
 0.468040E+03 0.684440E-01    
 0.494037E+03 0.686380E-01    
 0.514834E+03 0.687932E-01    
 0.502689E+03 0.798966E-01    
 0.530419E+03 0.801036E-01    
 0.547728E+03 0.988894E-01    
 0.563326E+03 0.990059E-01    
 0.573690E+03 0.128934E+00    
 0.589279E+03 0.136513E+00    
 0.603157E+03 0.125422E+00    
 0.613542E+03 0.136694E+00    
 0.622182E+03 0.159147E+00    
 0.632546E+03 0.189075E+00    
 0.632490E+03 0.237582E+00    
 0.639383E+03 0.271215E+00    
 0.642798E+03 0.316017E+00    
 0.641034E+03 0.342123E+00    
 0.640983E+03 0.386899E+00    
 0.642673E+03 0.424225E+00    
 0.647833E+03 0.457846E+00    
 0.652981E+03 0.502660E+00    
 0.654671E+03 0.539986E+00    
 0.659961E+03 0.461667E+00    
 0.658197E+03 0.487774E+00    
 0.646066E+03 0.487683E+00    
 0.652968E+03 0.513854E+00    
 0.654705E+03 0.510136E+00    
 0.659900E+03 0.513906E+00    
 0.160837E+04 0.110536E+00    
 0.649502E+03 0.513828E+00    
 0.646126E+03 0.435445E+00    
 0.658266E+03 0.428073E+00    
 0.659982E+03 0.443011E+00    
 0.660025E+03 0.405698E+00    
 0.663530E+03 0.372142E+00    
 0.665302E+03 0.338573E+00    
 0.665341E+03 0.304991E+00    
 0.667121E+03 0.263960E+00    
 0.670639E+03 0.219210E+00    
 0.674157E+03 0.174460E+00    
 0.681141E+03 0.129736E+00    
 0.698511E+03 0.962834E-01    
 0.722796E+03 0.778079E-01    
 0.745347E+03 0.593194E-01    
 0.773081E+03 0.557951E-01    
 0.797336E+03 0.634388E-01    
 0.778272E+03 0.632965E-01    
 0.757475E+03 0.631413E-01    
 0.736669E+03 0.704487E-01    
 0.703714E+03 0.925908E-01    
 0.714139E+03 0.702806E-01    
 0.693307E+03 0.999759E-01    
 0.812942E+03 0.560925E-01    
 0.825056E+03 0.711083E-01    
 0.844120E+03 0.712506E-01    
 0.833722E+03 0.711730E-01    
 0.852751E+03 0.101166E+00    
 0.844103E+03 0.861758E-01    
 0.857933E+03 0.116130E+00    
 0.863115E+03 0.131094E+00    
 0.870026E+03 0.149802E+00    
 0.882158E+03 0.149893E+00    
 0.892587E+03 0.123851E+00    
 0.897816E+03 0.977707E-01    
 0.901299E+03 0.828713E-01    
 0.911711E+03 0.717550E-01    
 0.920376E+03 0.718197E-01    
 0.934241E+03 0.719231E-01    
 0.937699E+03 0.794116E-01    
 0.944622E+03 0.869260E-01    
 0.953279E+03 0.944533E-01    
 0.958470E+03 0.101955E+00    
 0.961901E+03 0.131831E+00    
 0.965389E+03 0.113200E+00    
 0.979245E+03 0.120766E+00    
 0.979228E+03 0.135692E+00    
 0.984397E+03 0.161850E+00    
 0.991303E+03 0.184289E+00    
 0.991260E+03 0.221602E+00    
 0.996425E+03 0.251492E+00    
 0.998132E+03 0.273892E+00    
 0.999831E+03 0.303756E+00    
 0.100153E+04 0.333619E+00    
 0.999779E+03 0.348532E+00    
 0.100147E+04 0.385858E+00    
 0.100489E+04 0.423197E+00    
 0.101003E+04 0.475474E+00    
 0.101170E+04 0.531456E+00    
 0.101007E+04 0.441892E+00    
 0.100827E+04 0.497849E+00    
 0.100992E+04 0.572488E+00    
 0.101680E+04 0.621047E+00    
 0.100990E+04 0.591145E+00    
 0.101502E+04 0.654616E+00    
 0.101507E+04 0.617302E+00    
 0.101499E+04 0.680735E+00    
 0.101669E+04 0.714330E+00    
 0.100986E+04 0.624726E+00    
 0.101329E+04 0.658334E+00    
 0.101838E+04 0.751656E+00    
 0.101665E+04 0.744180E+00    
 0.101662E+04 0.774031E+00    
 0.101658E+04 0.811344E+00    
 0.101481E+04 0.837450E+00    
 0.101649E+04 0.882239E+00    
 0.101473E+04 0.908345E+00    
 0.101643E+04 0.938208E+00    
 0.102159E+04 0.975560E+00    
 0.101808E+04 0.100912E+01    
 0.101640E+04 0.960596E+00    
 0.101805E+04 0.103897E+01    
 0.101974E+04 0.106883E+01    
 0.101796E+04 0.111359E+01    
 0.101972E+04 0.108749E+01    
 0.101966E+04 0.113972E+01    
 0.101963E+04 0.116958E+01    
 0.101959E+04 0.119943E+01    
 0.101957E+04 0.122181E+01    
 0.102126E+04 0.125541E+01    
 0.102295E+04 0.129273E+01    
 0.102292E+04 0.132258E+01    
 0.102289E+04 0.134870E+01    
 0.102112E+04 0.137854E+01    
 0.102801E+04 0.141591E+01    
 0.102631E+04 0.138604E+01    
 0.102289E+04 0.134870E+01    
 0.102282E+04 0.140841E+01    
 0.102624E+04 0.144574E+01    
 0.102969E+04 0.146070E+01    
 0.103320E+04 0.142341E+01    
 0.103152E+04 0.137862E+01    
 0.103329E+04 0.134878E+01    
 0.102986E+04 0.131144E+01    
 0.103163E+04 0.128161E+01    
 0.103514E+04 0.124805E+01    
 0.103517E+04 0.122193E+01    
 0.103523E+04 0.116223E+01    
 0.103347E+04 0.119207E+01    
 0.103701E+04 0.112493E+01    
 0.103704E+04 0.109881E+01    
 0.103709E+04 0.105403E+01    
 0.103709E+04 0.105777E+01    
 0.103361E+04 0.106893E+01    
 0.103712E+04 0.103165E+01    
 0.103716E+04 0.998064E+00    
 0.103546E+04 0.964470E+00    
 0.103548E+04 0.945813E+00    
 0.103898E+04 0.915988E+00    
 0.103903E+04 0.878675E+00    
 0.103734E+04 0.841349E+00    
 0.104431E+04 0.804088E+00    
 0.103567E+04 0.785367E+00    
 0.103736E+04 0.822693E+00    
 0.104090E+04 0.759286E+00    
 0.103747E+04 0.729410E+00    
 0.104096E+04 0.707048E+00    
 0.103755E+04 0.662246E+00    
 0.103925E+04 0.684647E+00    
 0.104106E+04 0.617496E+00    
 0.103939E+04 0.568977E+00    
 0.103931E+04 0.632409E+00    
 0.104109E+04 0.591377E+00    
 0.104463E+04 0.527971E+00    
 0.104296E+04 0.475720E+00    
 0.104114E+04 0.550333E+00    
 0.104292E+04 0.513033E+00    
 0.104819E+04 0.449639E+00    
 0.104650E+04 0.412313E+00    
 0.104475E+04 0.423494E+00    
 0.104654E+04 0.378731E+00    
 0.104659E+04 0.337687E+00    
 0.105182E+04 0.304144E+00    
 0.105360E+04 0.263112E+00    
 0.104840E+04 0.270536E+00    
 0.105016E+04 0.244430E+00    
 0.105366E+04 0.218337E+00    
 0.105543E+04 0.181037E+00    
 0.105892E+04 0.162406E+00    
 0.106069E+04 0.132568E+00    
 0.106592E+04 0.102757E+00    
 0.107288E+04 0.804204E-01    
 0.108157E+04 0.580972E-01    
 0.109718E+04 0.470197E-01    
 0.110239E+04 0.358646E-01    
 0.110933E+04 0.321850E-01    
 0.112146E+04 0.322755E-01    
 0.113534E+04 0.211851E-01    
