       X           Y
 0.304385E+03 0.325066E+00    
 0.300896E+03 0.306828E+00    
 0.304333E+03 0.306838E+00    
 0.304350E+03 0.312914E+00    
 0.300974E+03 0.334170E+00    
 0.302719E+03 0.343289E+00    
 0.304315E+03 0.300762E+00    
 0.311188E+03 0.300783E+00    
 0.311171E+03 0.294707E+00    
 0.805124E+03 -.167038E-01    
 0.309426E+03 0.285588E+00    
 0.314538E+03 0.270413E+00    
 0.312837E+03 0.276484E+00    
 0.328309E+03 0.279569E+00    
 0.323137E+03 0.273478E+00    
 0.331746E+03 0.279580E+00    
 0.338619E+03 0.279601E+00    
 0.342055E+03 0.279611E+00    
 0.347184E+03 0.270513E+00    
 0.335226E+03 0.294780E+00    
 0.352330E+03 0.267490E+00    
 0.360895E+03 0.258402E+00    
 0.362604E+03 0.255370E+00    
 0.372949E+03 0.267553E+00    
 0.379795E+03 0.258460E+00    
 0.383180E+03 0.240242E+00    
 0.386581E+03 0.228101E+00    
 0.391684E+03 0.209888E+00    
 0.393332E+03 0.185590E+00    
 0.403590E+03 0.167393E+00    
 0.413855E+03 0.152234E+00    
 0.417231E+03 0.130979E+00    
 0.410410E+03 0.149186E+00    
 0.407000E+03 0.158289E+00    
 0.400205E+03 0.185610E+00    
 0.393350E+03 0.191666E+00    
 0.400153E+03 0.167382E+00    
 0.393298E+03 0.173438E+00    
 0.393367E+03 0.197742E+00    
 0.384820E+03 0.212905E+00    
 0.389974E+03 0.212921E+00    
 0.381488E+03 0.249351E+00    
 0.376350E+03 0.255411E+00    
 0.378112E+03 0.270607E+00    
 0.371196E+03 0.255396E+00    
 0.364323E+03 0.255375E+00    
 0.371213E+03 0.261472E+00    
 0.417240E+03 0.134017E+00    
 0.415530E+03 0.137049E+00    
 0.424087E+03 0.124923E+00    
 0.427497E+03 0.115820E+00    
 0.430942E+03 0.118868E+00    
 0.436079E+03 0.112808E+00    
 0.449825E+03 0.112850E+00    
 0.444688E+03 0.118910E+00    
 0.454980E+03 0.112865E+00    
 0.465289E+03 0.112897E+00    
 0.465280E+03 0.109859E+00    
 0.472162E+03 0.112918E+00    
 0.487644E+03 0.119041E+00    
 0.485899E+03 0.109921E+00    
 0.480753E+03 0.112944E+00    
 0.492798E+03 0.119056E+00    
 0.504808E+03 0.113017E+00    
 0.516862E+03 0.122167E+00    
 0.528890E+03 0.122204E+00    
 0.544345E+03 0.119213E+00    
