A	B
-229.22621	-145.04041
-227.68269	-145.69867
-226.13958	-145.91107
-224.59686	-145.58813
-223.05454	-145.24407
-221.51263	-144.8055
-219.97111	-144.41248
-218.43	-143.40046
-216.88928	-142.02914
-215.34896	-140.23629
-213.80905	-139.24807
-212.26953	-139.54621
-210.73041	-140.7662
-209.19169	-142.10671
-207.65337	-143.61763
-206.11545	-145.28092
-204.57793	-145.85072
-203.0408	-145.37636
-201.50408	-144.87879
-199.96775	-145.59318
-198.43182	-146.04078
-196.89629	-145.85542
-195.36116	-144.40681
-193.82642	-142.78749
-192.29208	-141.83051
-190.75814	-142.72688
-189.2246	-143.58889
-187.69146	-142.87235
-186.15871	-141.86674
-184.62636	-142.99067
-183.09441	-145.08081
-181.56285	-145.46451
-180.03169	-143.93449
-178.50093	-143.26458
-176.97057	-144.59242
-175.4406	-146.20968
-173.91102	-146.00825
-172.38185	-144.85454
-170.85307	-144.33788
-169.32468	-143.72518
-167.7967	-142.60708
-166.2691	-141.82078
-164.74191	-142.66011
-163.21511	-143.73547
-161.6887	-144.70737
-160.16269	-144.52009
-158.63708	-144.46345
-157.11186	-146.46305
-155.58703	-151.58347
-154.0626	-154.88479
-152.53857	-152.47422
-151.01493	-146.75757
-149.49168	-143.16918
-147.96883	-143.13424
-146.44638	-144.87459
-144.92431	-147.23625
-143.40264	-148.56589
-141.88137	-148.73326
-140.36049	-149.36968
-138.84	-152.40424
-137.31991	-155.42581
-135.80021	-157.28425
-134.28091	-158.19707
-132.76199	-158.56283
-131.24347	-156.32696
-129.72535	-154.23378
-128.20761	-154.01789
-126.69027	-155.506
-125.17333	-155.99665
-123.65677	-157.22378
-122.14061	-157.42549
-120.62484	-155.82142
-119.10946	-154.1032
-117.59447	-156.24303
-116.07988	-159.51662
-114.56568	-161.10534
-113.05187	-160.99125
-111.53845	-161.49925
-110.02542	-161.57527
-108.51279	-161.01742
-107.00055	-159.48424
-105.48869	-159.3342
-103.97723	-160.91143
-102.46616	-163.24674
-100.95548	-164.00041
-99.4452	-164.99145
-97.9353	-165.77196
-96.42579	-166.18432
-94.91667	-167.2998
-93.40795	-172.37743
-91.89961	-176.82063
-90.39167	-178.51387
-88.88411	-177.75202
-87.37694	-177.68459
-85.87017	-176.27634
-84.36378	-172.96029
-82.85779	-167.3934
-81.35218	-165.50846
-79.84696	-174.66198
-78.34213	-190.55495
-76.83769	-198.34047
-75.33364	-191.82966
-73.82998	-183.7575
-72.32671	-184.01792
-70.82382	-191.85821
-69.32133	-200.75528
-67.81922	-209.60268
-66.3175	-214.02891
-64.81617	-212.2557
-63.31523	-205.76199
-61.81467	-203.70043
-60.31451	-209.82674
-58.81473	-221.82018
-57.31534	-226.95724
-55.81633	-220.18112
-54.31772	-208.17202
-52.81949	-203.20311
-51.32165	-204.85824
-49.82419	-206.81766
-48.32713	-207.50356
-46.83045	-212.24088
-45.33415	-226.95636
-43.83825	-250.74389
-42.34273	-274.93205
-40.84759	-288.48998
