LASERINDEX	WAVENUMBER	SPWNPOWER	SpWNQuant	SpQuantNorm	Wavelength	SpecWL	FluAbsRatio
Integer Laser Wavelength	cm^-1	nW/cm-1	photon/s/cm^-1	Norm intensity	nm	W/nm	Experimental Ratio
532	11340.38471	2.71593E-6	12059.00389	0.00522	881.8043	3.4928E-14	6.41529E-13
	11323.51253	2.52274E-6	11217.91901	0.00486	883.1182	3.23471E-14	5.97442E-13
	11306.68664	2.1306E-6	9488.26239	0.00411	884.4324	2.72378E-14	5.05637E-13
	11289.90941	1.58821E-6	7083.35247	0.00307	885.7467	2.02437E-14	3.75677E-13
	11273.17808	1.35914E-6	6070.67559	0.00263	887.0613	1.72725E-14	3.21554E-13
	11256.495	1.48055E-6	6622.79507	0.00287	888.376	1.87599E-14	3.53076E-13
	11239.85743	1.72268E-6	7717.29436	0.00334	889.691	2.17634E-14	4.15161E-13
	11223.26646	1.82613E-6	8192.82046	0.00355	891.0062	2.30023E-14	4.42077E-13
	11206.72314	1.55177E-6	6972.19226	0.00302	892.3215	1.94888E-14	3.75101E-13
	11190.22476	1.33233E-6	5995.05718	0.0026	893.6371	1.66836E-14	3.21545E-13
	11173.77239	1.52991E-6	6894.2248	0.00298	894.9529	1.91014E-14	3.67541E-13
	11157.36583	1.74822E-6	7889.58899	0.00342	896.2689	2.1763E-14	4.16725E-13
	11141.00614	1.7444E-6	7883.91222	0.00341	897.585	2.16518E-14	4.12896E-13
	11124.69065	1.64013E-6	7423.54493	0.00321	898.9014	2.02981E-14	3.86617E-13
	11108.4204	1.43706E-6	6513.91136	0.00282	900.218	1.77328E-14	3.39397E-13
	11092.19399	1.14581E-6	5201.35231	0.00225	901.5349	1.40977E-14	2.72025E-13
	11076.01491	9.25504E-7	4207.41496	0.00182	902.8518	1.13539E-14	2.20176E-13
	11059.87807	8.92275E-7	4062.27501	0.00176	904.1691	1.09144E-14	2.11457E-13
	11043.78696	9.33112E-7	4254.382	0.00184	905.4865	1.13807E-14	2.20624E-13
	11027.74017	1.06116E-6	4845.23506	0.0021	906.8041	1.29049E-14	2.50455E-13
	11011.73752	1.28869E-6	5892.69018	0.00255	908.1219	1.56265E-14	3.01021E-13
	10995.77883	1.43979E-6	6593.14947	0.00285	909.4399	1.74081E-14	3.32907E-13
	10979.86271	1.44538E-6	6628.37675	0.00287	910.7582	1.74252E-14	3.32138E-13
	10963.9914	1.46346E-6	6720.98394	0.00291	912.0766	1.75921E-14	3.33068E-13
	10948.16231	1.4218E-6	6539.09341	0.00283	913.3953	1.7042E-14	3.21439E-13
	10932.37767	1.3491E-6	6213.69472	0.00269	914.7141	1.6124E-14	3.04891E-13
	10916.6349	1.26161E-6	5819.12285	0.00252	916.0332	1.5035E-14	2.82896E-13
	10900.93503	1.10357E-6	5097.47866	0.00221	917.3525	1.31137E-14	2.43502E-13
	10885.27906	1.20529E-6	5575.36952	0.00241	918.6719	1.42814E-14	2.61623E-13
	10869.66446	1.38155E-6	6399.87148	0.00277	919.9916	1.6323E-14	2.9547E-13
	10854.09224	1.34559E-6	6242.21514	0.0027	921.3115	1.58525E-14	2.8602E-13
	10838.56339	1.2983E-6	6031.4857	0.00261	922.6315	1.52517E-14	2.76738E-13
	10823.0754	1.41386E-6	6577.73969	0.00285	923.9518	1.65618E-14	3.02346E-13
	10807.62928	1.57159E-6	7322.01935	0.00317	925.2723	1.8357E-14	3.36064E-13
	10792.22485	1.53671E-6	7169.71293	0.0031	926.593	1.78984E-14	3.27735E-13
	10776.86195	1.42568E-6	6661.19135	0.00288	927.9139	1.6558E-14	3.02531E-13
	10761.54041	1.43494E-6	6713.97742	0.00291	929.235	1.66181E-14	3.02052E-13
	10746.26006	1.36048E-6	6374.65757	0.00276	930.5563	1.57112E-14	2.8452E-13
	10731.01959	1.0589E-6	4968.61361	0.00215	931.8779	1.21938E-14	2.21396E-13
	10715.82114	1.01926E-6	4789.40557	0.00207	933.1996	1.17041E-14	2.13208E-13
	10700.66339	1.35124E-6	6358.32057	0.00275	934.5215	1.54723E-14	2.80488E-13
	10685.54617	1.55697E-6	7336.77135	0.00318	935.8436	1.77777E-14	3.189E-13
	10670.4682	1.66106E-6	7838.30552	0.00339	937.166	1.89126E-14	3.35212E-13
