A	B
900	0.04848
898	0.04962
896	0.05093
894	0.05246
892	0.05425
890	0.05635
888	0.05875
886	0.06141
884	0.06421
882	0.067
880	0.06956
878	0.07149
876	0.07228
874	0.07155
872	0.06935
870	0.06619
868	0.06272
866	0.05942
864	0.05654
862	0.05415
860	0.05223
858	0.05072
856	0.04955
854	0.04867
852	0.04801
850	0.0475
848	0.04706
846	0.04662
844	0.04613
842	0.04561
840	0.04509
838	0.04463
836	0.04422
834	0.04389
832	0.04361
830	0.04338
828	0.04319
826	0.04303
824	0.0429
822	0.0428
820	0.04272
818	0.04266
816	0.04262
814	0.04259
812	0.04255
810	0.04252
808	0.04248
806	0.04246
804	0.04244
802	0.04243
800	0.04243
798	0.04244
796	0.04245
794	0.04248
792	0.04251
790	0.04254
788	0.04259
786	0.04264
784	0.0427
782	0.04276
780	0.04284
778	0.04292
776	0.043
774	0.0431
772	0.04321
770	0.04333
768	0.04347
766	0.04363
764	0.04381
762	0.04402
760	0.04427
758	0.04457
756	0.04493
754	0.04537
752	0.04592
750	0.04659
748	0.04738
746	0.04821
744	0.04891
742	0.04926
740	0.04918
738	0.0488
736	0.04835
734	0.04798
732	0.04772
730	0.04757
728	0.04747
726	0.04743
724	0.04742
722	0.04746
720	0.04754
718	0.04769
716	0.04788
714	0.04811
712	0.0484
710	0.04872
708	0.04909
706	0.04951
704	0.04998
702	0.05049
700	0.05106
698	0.05169
696	0.05238
694	0.05314
692	0.054
690	0.05495
688	0.05601
686	0.05721
684	0.05856
682	0.06008
680	0.0618
678	0.06376
676	0.06597
674	0.06849
672	0.07135
670	0.0746
668	0.07829
666	0.08246
664	0.08716
662	0.09239
660	0.0981
658	0.10416
656	0.11028
654	0.11605
652	0.1209
650	0.12419
648	0.12543
646	0.12439
644	0.12127
642	0.11653
640	0.11085
638	0.10482
636	0.09894
634	0.09349
632	0.08864
630	0.08443
628	0.08087
626	0.07789
624	0.07544
622	0.07347
620	0.07192
618	0.07073
616	0.06986
614	0.06928
612	0.06896
610	0.06886
608	0.06897
606	0.06927
604	0.06972
602	0.0703
600	0.071
598	0.07176
596	0.07254
594	0.07331
592	0.07402
590	0.07464
588	0.07517
586	0.0756
584	0.07595
582	0.07627
580	0.0766
578	0.07701
576	0.07763
574	0.07856
572	0.07984
570	0.08124
568	0.08208
566	0.08153
564	0.07959
562	0.07713
560	0.07493
558	0.07328
556	0.07219
554	0.07158
552	0.07138
550	0.07154
548	0.07203
546	0.07282
544	0.07392
542	0.07531
540	0.07701
538	0.07906
536	0.0815
534	0.08444
532	0.08801
530	0.09241
528	0.09792
526	0.10491
524	0.11389
522	0.12555
520	0.14076
518	0.16039
516	0.1848
514	0.2124
512	0.23754
510	0.25063
508	0.24474
506	0.22308
504	0.19555
502	0.17006
500	0.14972
498	0.13472
496	0.12421
494	0.11723
492	0.11303
490	0.11106
488	0.11095
486	0.11241
484	0.11503
482	0.11808
480	0.12059
478	0.12186
476	0.12203
474	0.12154
472	0.12057
470	0.11895
468	0.11644
466	0.11299
464	0.10876
462	0.10408
460	0.09934
458	0.09486
456	0.09088
454	0.08753
452	0.08486
450	0.08486
