DIAMETER	INTEGRAL	Parameters	IntegralC	ParamCOR
Histogram Axis	Histogram Intensity	Some parameters	Histogram Intensity Corrected	Some parameters
0.624	0	215.81795	0	0.20916
0.672	0.06076	0.778	0.07843	0.778
0.72	0.18695	0.153	0.17457	0.159
0.768	0.48653	0.086	0.46422	0.09
0.816	0.07989	0.115	0.09056	0.121
0.864	0.08759		0.07995	
0.912	0.05274		0.06152	
0.96	0.01532		0.01953	
1.008	0.01649		0.01059	
1.056	0.01245		0.01854	
1.104	0.00127		0.0021	
1.152	0		0	
1.2	0		0	
1.248	0		0	
1.296	0		0	
1.344	0		0	
1.392	0		0	
1.44	0		0	
1.488	0		0	
1.536	0		0	
1.584	0		0	
1.632	0		0	
1.68	0		0	
1.728	0		0	
1.776	0		0	
