POSITION	HEIGHT	NM	AMPLITUDE
Peak Position	Label Y	Peak Label	Peak Amplitude
10145.23759	0.22805	6,5	0.28003
9639.14035	0.22805	7,5	0.17216
10386.01794	0.22805	8,3	0.11662
8737.38015	0.22805	7,6	0.05498
9315.01043	0.22805	10,2	0.05375
8983.28443	0.22805	9,4	0.04804
9484.72217	0.22805	8,1	0.04768
8474.58649	0.22805	9,2	0.02601
8279.00679	0.22805	8,6	0.01578
10790.67362	0.22805	9,1	0.01456
7725.47694	0.22805	8,7	0.01137
7539.89053	0.22805	11,4	0.01061
11185.47013	0.22805	6,4	0.0081
8099.4371	0.22805	11,3	0.00789
7947.9259	0.22805	9,5	0.00377
7338.27054	0.22805	10,6	0.00147
7019.42276	0.22805	9,8	0
