A	B
400	0.09722
401	0.09696
402	0.0967
403	0.09643
404	0.09617
405	0.0959
406	0.09564
407	0.09537
408	0.09511
409	0.09485
410	0.09458
411	0.09432
412	0.09405
413	0.09379
414	0.09352
415	0.09326
416	0.093
417	0.09273
418	0.09247
419	0.0922
420	0.09194
421	0.09168
422	0.09141
423	0.09115
424	0.09088
425	0.09062
426	0.09035
427	0.09009
428	0.08983
429	0.08956
430	0.0893
431	0.08903
432	0.08877
433	0.0885
434	0.08824
435	0.08798
436	0.08771
437	0.08745
438	0.08718
439	0.08692
440	0.08666
441	0.08639
442	0.08613
443	0.08586
444	0.0856
445	0.08533
446	0.08507
447	0.08481
448	0.08454
449	0.08428
450	0.08401
451	0.08388
452	0.08453
453	0.08455
454	0.08438
455	0.0846
456	0.08461
457	0.08496
458	0.08454
459	0.08431
460	0.08477
461	0.08446
462	0.08457
463	0.08404
464	0.08396
465	0.08321
466	0.08338
467	0.0829
468	0.08162
469	0.08207
470	0.08102
471	0.08068
472	0.0801
473	0.07934
474	0.07874
475	0.07831
476	0.07773
477	0.0766
478	0.07586
479	0.07535
480	0.0748
481	0.07493
482	0.07389
483	0.07368
484	0.07337
485	0.07342
486	0.07308
487	0.07308
488	0.07217
489	0.07279
490	0.07226
491	0.07204
492	0.07206
493	0.07197
494	0.07211
495	0.07185
496	0.07222
497	0.07193
498	0.07228
499	0.07198
500	0.07193
501	0.07194
502	0.07221
503	0.07184
504	0.07166
505	0.0718
506	0.07174
507	0.07186
508	0.071
509	0.07157
510	0.07114
511	0.07164
512	0.0709
513	0.07122
514	0.07101
515	0.0704
516	0.0705
517	0.07024
518	0.07026
519	0.06956
520	0.06937
521	0.06911
522	0.0684
523	0.06864
524	0.06865
525	0.06829
526	0.06797
527	0.06788
528	0.06707
529	0.06738
530	0.06712
531	0.06709
532	0.06658
533	0.06684
534	0.0671
535	0.06679
536	0.06648
537	0.06638
538	0.06662
539	0.06674
540	0.06675
541	0.06667
542	0.06648
543	0.06723
544	0.06749
545	0.06697
546	0.06787
547	0.06783
548	0.06815
549	0.06917
550	0.06936
551	0.06989
552	0.07067
553	0.07105
554	0.07124
555	0.07239
556	0.07278
557	0.0737
558	0.07466
559	0.07553
560	0.07655
561	0.07748
562	0.0789
563	0.07978
564	0.0813
565	0.08203
566	0.08317
567	0.08397
568	0.08443
569	0.08502
570	0.08555
571	0.08518
572	0.08545
573	0.08452
574	0.08394
575	0.08406
576	0.08362
577	0.08338
578	0.08251
579	0.08167
580	0.08136
581	0.0807
582	0.07999
583	0.08003
584	0.07965
585	0.07876
586	0.07849
587	0.07774
588	0.07705
589	0.07667
590	0.07624
591	0.07628
592	0.07622
593	0.07528
594	0.07459
595	0.07386
596	0.07328
597	0.0732
598	0.07286
599	0.07198
600	0.07129
601	0.0711
602	0.07049
603	0.06975
604	0.06965
605	0.06863
606	0.06883
607	0.06858
608	0.06747
609	0.06734
610	0.06682
611	0.06636
612	0.06611
613	0.06602
614	0.06527
615	0.06527
616	0.06527
617	0.06396
618	0.06415
619	0.06423
620	0.06385
621	0.06338
622	0.06344
623	0.06383
624	0.06331
625	0.06364
626	0.06335
627	0.06357
628	0.06328
629	0.06351
630	0.06323
631	0.06329
632	0.06376
633	0.06335
634	0.06373
635	0.06375
636	0.06413
637	0.0644
638	0.06424
639	0.06494
640	0.06523
641	0.06568
642	0.06595
643	0.06655
644	0.06656
645	0.06709
646	0.06754
647	0.06745
648	0.06745
649	0.06745
