WAVELENGTH	ABS
nm	Abs
881.8043	0.05444
883.1182	0.05414
884.4324	0.05387
885.7467	0.05389
887.0613	0.05372
888.376	0.05313
889.691	0.05242
891.0062	0.05203
892.3215	0.05196
893.6371	0.05189
894.9529	0.05197
896.2689	0.05222
897.585	0.05244
898.9014	0.0525
900.218	0.05225
901.5349	0.05183
902.8518	0.05157
904.1691	0.05162
905.4865	0.05158
906.8041	0.05153
908.1219	0.05191
909.4399	0.05229
910.7582	0.05246
912.0766	0.05282
913.3953	0.05302
914.7141	0.05288
916.0332	0.05315
917.3525	0.05385
918.6719	0.05459
919.9916	0.05524
921.3115	0.05542
922.6315	0.05511
923.9518	0.05478
925.2723	0.05462
926.593	0.05461
927.9139	0.05473
929.235	0.05502
930.5563	0.05522
931.8779	0.05508
933.1996	0.0549
934.5215	0.05516
935.8436	0.05575
937.166	0.05642
938.4885	0.05704
939.8113	0.05747
941.1342	0.05794
942.4574	0.05868
943.7808	0.05963
945.1043	0.06072
946.4281	0.06188
947.7521	0.06314
949.0762	0.06462
950.4006	0.06608
951.7252	0.06719
953.05	0.06838
954.3751	0.07032
955.7003	0.07267
957.0256	0.07482
958.3513	0.07702
959.6771	0.07935
961.0031	0.08155
962.3293	0.08362
963.6558	0.0857
964.9824	0.08781
966.3093	0.08994
967.6364	0.09211
968.9636	0.09436
970.2911	0.09702
971.6187	0.10017
972.9466	0.10376
974.2747	0.10752
975.603	0.11102
976.9315	0.11432
978.2601	0.11678
979.5891	0.1182
980.9182	0.11937
982.2475	0.11998
983.577	0.11966
984.9067	0.11889
986.2366	0.1177
987.5668	0.11594
988.8971	0.11372
990.2276	0.11148
991.5583	0.10936
992.8893	0.10729
994.2205	0.10578
995.5518	0.10462
996.8834	0.10288
998.2151	0.10078
999.5471	0.099
1000.879	0.097
1002.212	0.09486
1003.544	0.09328
1004.877	0.09163
1006.21	0.08954
1007.543	0.08734
1008.877	0.08538
1010.21	0.08362
1011.544	0.08207
1012.878	0.08073
1014.212	0.07936
1015.547	0.0784
1016.881	0.07764
1018.216	0.07658
1019.551	0.07573
1020.887	0.07514
1022.222	0.0747
1023.558	0.07472
1024.894	0.07482
1026.23	0.07447
1027.566	0.07411
1028.902	0.07398
1030.239	0.07351
1031.576	0.07267
1032.913	0.07159
1034.25	0.07038
1035.588	0.06939
1036.926	0.06851
1038.264	0.06755
1039.602	0.06639
1040.94	0.06503
1042.279	0.06396
1043.617	0.06311
1044.956	0.06212
1046.295	0.0613
1047.635	0.06055
1048.974	0.05975
1050.314	0.05875
1051.654	0.05728
1052.994	0.05609
1054.335	0.05573
1055.675	0.0554
1057.016	0.05476
1058.357	0.05427
1059.698	0.05371
1061.04	0.05281
1062.381	0.05191
1063.723	0.05119
1065.065	0.05071
1066.407	0.05053
1067.75	0.05035
1069.092	0.04953
1070.435	0.04849
1071.778	0.04834
1073.121	0.04877
1074.465	0.04867
1075.809	0.04806
