NMINDEX	E11	DE11	E22	DE22	Shape	E11Exc	E11Par	Profile	LaserWL	LaserRatio	NONBASISINDEX	Version	LPower	Weight	Int636	Exc636	Int671	Exc671	Int783	Exc783	Int532	Exc532	Sens
NM List	cm^-1	cm^-1	cm^-1	cm^-1	Shape Factor	E11 exc probability	E11 exc Offset and Width	Profile factor	Laser Wavelength (nm)	Relative Laser Power	Excluded NM	Software Version	Laser Power (mW)	Abundance	Solution laser # 0	Exc Probability Laser # 0	Solution laser # 1	Exc Probability Laser # 1	Solution laser # 2	Exc Probability Laser # 2	Solution laser # 3	Exc Probability Laser # 3	Sensitivity
6,4	11185.47013	248.67503	17262.77709	491.10377	0.27949	0.14658	1700	0.288	636	1	7,0	2.57 (20100929)	102.2668	31.11038	5.08727	0.16352	4.62615	0.146	7.43716	0.22623	7.64803	0.43044	6.79
9,1	10790.67362	233.79605	14349.70441	436.03357	0.3637	0.14489	300	0.09527	671	2.15174	6,1		39.69495	10.39044	3.84656	0.3702	5.74722	0.31812	3.87548	0.18702	2.89445	0.20241	7.72
8,3	10386.01794	176.14629	14972.89334	597.58062	0.28741	0.13946		0.10613	783	1.76584	6,2		98.53833	33.06989	12.35872	0.37372	49.77829	1.11987	7.00716	0.16264	6.44028	0.255	6.84
6,5	10145.23759	239.03142	17698.39011	472.12468	0.32864	0.15679		0.12685	532	0.16863	5,3		14.64342	343.75463	51.47203	0.14973	48.94531	0.14025	48.48886	0.13607	65.16245	0.31555	4.82
7,3	9752.78991	284.82595	19698.80291	661.86162	0.21539	0.14818					5,4			298.26506	41.98269	0.14076	41.33372	0.13721	41.05584	0.13418	77.08481	0.27291	5.12
7,5	9639.14035	203.91119	15479.33036	783.6429	0.63197	0.07561					8,0			204.06614	190.89299	0.93545	99.78084	0.48789	33.35524	0.1626	44.70326	0.32221	5.27
8,1	9484.72217	149.37368	20920.00325	754.22774	0.33811	0.06849					7,2			136.18984	18.81703	0.13817	18.63137	0.13576	18.44567	0.1327	22.44067	0.17485	3.35
10,2	9315.01043	248.03605	13507.05024	320.97441	0.33556	0.0741					10,0			117.43233	30.54164	0.26008	35.88762	0.3347	36.93803	0.18269	32.23754	0.22438	7.85
9,4	8983.28443	227.0141	13755.13171	405.56814	0.43668	0.07598					11,0			79.0078	29.66332	0.37545	28.54101	0.29486	28.86051	0.17984	35.70366	0.24793	5.11
8,4	8840.43939	236.20401	16927.41794	820.69168	0.70756	0.08427					11,1			254.39331	66.94222	0.26314	48.22324	0.18741	39.63514	0.14626	71.65329	0.48468	3.68
7,6	8737.38015	249.24233	15381.72927	689.4609	0.94127	0.08843					13,0			129.16318	92.10221	0.71307	68.24658	0.50784	21.02348	0.15642	33.65586	0.30164	3.29
9,2	8474.58649	238.41307	17772.5267	682.0391	0.49915	0					14,0			189.96052	32.09912	0.16898	29.37004	0.15144	27.41335	0.13679	48.55135	0.40462	3.46
12,1	8690.25433	309.52226	12337.37544	281.40652	0.39206	0					13,2			0	0	0.24274	0	0.19548	0	0.24817	0	0.13836	7.77
8,6	8279.00679	208.44437	13594.97268	347.55108	0.65632	0					12,4			83.59833	24.79949	0.29665	26.96652	0.31285	28.28296	0.17991	30.02881	0.23901	3.79
11,3	8099.4371	199.04636	12322.07512	304.70772	0.30478	0					10,8			47.04007	11.53615	0.24524	6.93565	0.20187	11.86834	0.25982	6.55884	0.13954	6.94
9,5	7947.9259	219.62277	14796.9727	476.62241	0.43745	0					14,1			24.02991	7.17696	0.29867	35.63133	0.99883	5.21068	0.14899	4.97422	0.21603	3.58
10,3	7892.20282	197.409	15777.349	575.43137	0.42721	0					13,3			6.95391	7.89416	1.13521	1.62456	0.24679	0.98223	0.14352	1.03852	0.27808	3.09
10,5	7891.34584	182.65685	12629.73019	405.70911	0.245	0					12,5			9.72089	2.33943	0.24066	2.37385	0.28002	13.18229	0.82981	2.12668	0.15411	4.8
8,7	7725.47694	199.26333	13616.71578	397.88452	0.35586	0					11,7			79.76555	25.81429	0.32363	28.11107	0.3274	30.3839	0.19197	32.67261	0.24445	3.59
9,7	7459.21059	181.69244	12434.81803	302.37252	0.31158	0					10,9			0	0	0.23978	0	0.20997	0	0.32018	0	0.14106	3.89
11,4	7539.89053	189.92273	13826.63878	444.78808	0.39288	0					16,0			57.82654	23.66599	0.40926	20.72401	0.29934	20.08346	0.18244	19.99639	0.2473	2.73
12,2	7308.7554	180.01337	14494.35025	640.61274	0.45341	0					15,1			6.46824	2.64668	0.40918	6.63305	0.58664	2.09176	0.17632	1.76637	0.24142	2.67
10,6	7338.27054	207.92127	13147.19198	407.7233	0.38554	0					15,2			12.27004	2.89361	0.23583	7.53014	0.43538	7.42593	0.37307	2.7596	0.18629	2.9
11,6	7128.54628	194.93957	11609.24752	553.01001	0.31383	0					14,3			0	0	0.22673	0	0.28032	0	0.36233	0	0.14455	2.73
9,8	7019.42276	190.32524	12293.94377	427.55713	0.31045	0					14,4			0	0	0.25983	0	0.23995	0	0.34343	0	0.14718	2.15
											13,5												
											13,6												
											12,7												
											12,8												
											11,9												
											11,10												
