A	B
800	0.00105
802	0.00105
804	0.00154
806	0.00157
808	0.0016
810	0.00183
812	0.00186
814	0.00189
816	0.00192
818	0.00196
820	0.00199
822	0.00203
824	0.00207
826	0.00211
828	0.00215
830	0.00219
832	0.00228
834	0.00233
836	0.00237
838	0.00242
840	0.00247
842	0.00253
844	0.00258
846	0.00264
848	0.0027
850	0.00276
852	0.00283
854	0.00291
856	0.00301
858	0.0031
860	0.00319
862	0.00329
864	0.0034
866	0.00353
868	0.00368
870	0.00387
872	0.00411
874	0.00443
876	0.00487
878	0.00551
880	0.00648
882	0.00773
884	0.00931
886	0.01122
888	0.01335
890	0.01542
892	0.01728
894	0.01854
896	0.01906
898	0.01876
900	0.01775
902	0.01625
904	0.01459
906	0.01294
908	0.01159
910	0.0106
912	0.01012
914	0.0101
916	0.01051
918	0.01135
920	0.01248
922	0.01373
924	0.01496
926	0.01598
928	0.01665
930	0.01688
932	0.0167
934	0.01623
936	0.01569
938	0.01518
940	0.01485
942	0.01491
944	0.01547
946	0.01669
948	0.01884
950	0.02251
952	0.02816
954	0.03641
956	0.04753
958	0.06086
960	0.0749
962	0.08696
964	0.09537
966	0.09866
968	0.09783
970	0.09495
972	0.09272
974	0.09359
976	0.09842
978	0.10697
980	0.11828
982	0.13012
984	0.14042
986	0.14723
988	0.14942
990	0.14679
992	0.14014
994	0.13059
996	0.11906
998	0.10834
1000	0.09923
1002	0.09322
1004	0.09015
1006	0.09056
1008	0.09484
1010	0.10245
1012	0.11356
1014	0.12787
1016	0.14496
1018	0.16567
1020	0.18946
1022	0.21744
1024	0.25162
1026	0.29174
1028	0.33745
1030	0.39163
1032	0.44964
1034	0.50291
1036	0.54739
1038	0.57096
1040	0.57016
1042	0.54536
1044	0.50136
1046	0.4474
1048	0.39321
1050	0.34664
1052	0.30725
1054	0.27706
1056	0.25132
1058	0.23006
1060	0.21134
1062	0.19497
1064	0.1814
1066	0.1719
1068	0.1662
1070	0.16236
1072	0.15963
1074	0.15694
1076	0.15331
1078	0.14811
1080	0.14153
1082	0.13377
1084	0.12528
1086	0.11673
1088	0.10878
1090	0.10188
1092	0.09672
1094	0.09365
1096	0.09261
1098	0.0942
1100	0.09745
1102	0.10296
1104	0.11038
1106	0.11874
1108	0.12801
1110	0.13781
1112	0.14739
1114	0.15667
1116	0.16531
1118	0.1737
1120	0.18231
1122	0.19152
1124	0.20034
1126	0.21042
1128	0.2213
1130	0.23205
1132	0.24271
1134	0.25319
1136	0.26312
1138	0.27217
1140	0.27941
1142	0.28397
1144	0.28425
1146	0.28058
1148	0.27116
1150	0.25738
1152	0.23998
1154	0.22136
1156	0.20278
1158	0.18445
1160	0.16868
1162	0.15527
1164	0.14421
1166	0.1354
1168	0.1284
1170	0.12328
1172	0.11986
1174	0.11679
1176	0.11443
1178	0.11243
1180	0.11019
1182	0.10782
1184	0.10503
1186	0.10218
1188	0.09907
1190	0.09598
1192	0.09351
1194	0.09167
1196	0.09057
1198	0.09029
1200	0.09046
1202	0.0913
1204	0.0921
1206	0.09244
1208	0.09212
1210	0.09064
1212	0.08817
1214	0.08462
1216	0.08025
1218	0.07557
1220	0.07093
1222	0.06685
1224	0.06299
1226	0.06001
1228	0.05736
1230	0.05538
1232	0.05371
1234	0.0523
1236	0.05101
1238	0.04976
1240	0.04851
1242	0.04727
1244	0.04606
1246	0.045
1248	0.04409
1250	0.04341
1252	0.04296
1254	0.04279
1256	0.04269
1258	0.04287
1260	0.04305
1262	0.04331
1264	0.04363
1266	0.04399
1268	0.04452
1270	0.0451
1272	0.04586
1274	0.04708
1276	0.04877
1278	0.051
1280	0.05373
1282	0.05672
1284	0.06022
1286	0.06359
1288	0.06715
1290	0.07007
1292	0.0726
1294	0.07414
1296	0.07482
1298	0.07456
1300	0.07345
1302	0.07162
1304	0.06928
1306	0.06671
1308	0.06414
1310	0.06166
1312	0.05973
1314	0.05853
1316	0.05741
1318	0.05707
1320	0.05662
1322	0.05654
1324	0.05606
1326	0.0554
1328	0.05428
1330	0.05258
1332	0.05033
1334	0.04764
1336	0.04454
1338	0.04136
1340	0.03793
1342	0.03456
1344	0.03137
1346	0.02847
1348	0.02609
1350	0.02393
1352	0.02228
1354	0.02085
1356	0.01984
1358	0.01905
1360	0.01836
1362	0.01782
1364	0.01734
1366	0.01683
1368	0.01627
1370	0.01563
1372	0.01492
1374	0.01413
1376	0.01325
1378	0.01237
1380	0.01144
1382	0.01053
1384	0.00961
1386	0.00879
1388	0.00801
1390	0.00732
1392	0.00669
1394	0.00614
1396	0.00568
1398	0.00525
1400	0.00489
1402	0.00458
1404	0.00432
1406	0.00409
1408	0.00388
1410	0.0037
1412	0.00355
1414	0.0034
1416	0.00328
1418	0.00316
1420	0.00306
1422	0.00296
1424	0.00287
1426	0.00279
1428	0.00271
1430	0.00264
1432	0.00257
1434	0.00251
1436	0.00245
1438	0.00239
1440	0.00233
1442	0.00228
1444	0.00223
1446	0.00218
1448	0.00214
1450	0.0021
1452	0.00205
1454	0.00201
1456	0.00198
1458	0.00194
1460	0.0019
1462	0.00187
1464	0.00184
1466	0.0018
1468	0.00177
1470	0.00174
1472	0.00171
1474	0.00168
1476	0.00166
1478	0.00163
1480	0.0016
1482	0.00158
1484	0.00156
1486	0.00153
1488	0.00151
1490	0.00149
1492	0.00146
1494	0.00144
1496	0.00142
1498	0.0014
1500	0.00138
1502	0.00136
1504	0.00134
1506	0.00133
1508	0.00131
1510	0.00129
1512	0.00127
1514	0.00126
1516	0.00124
1518	0.00123
1520	0.00121
1522	0.00102
1524	0.00101
1526	9.97467E-4
1528	9.69397E-4
1530	9.56856E-4
1532	9.4461E-4
1534	9.32555E-4
1536	9.20841E-4
1538	9.09247E-4
1540	8.97935E-4
1542	8.86884E-4
1544	8.76031E-4
1546	8.65608E-4
1548	8.54983E-4
1550	8.44765E-4
1552	8.34704E-4
1554	8.25055E-4
1556	8.15316E-4
1558	8.05716E-4
1560	7.96702E-4
1562	7.87511E-4
1564	7.78705E-4
1566	7.69783E-4
1568	7.61156E-4
1570	7.52663E-4
1572	7.44394E-4
1574	7.36126E-4
1576	7.28238E-4
1578	7.20424E-4
1580	7.12508E-4
1582	7.05045E-4
1584	6.97542E-4
1586	6.90228E-4
1588	6.82859E-4
1590	6.75817E-4
1592	6.68836E-4
1594	6.61944E-4
1596	6.55147E-4
1598	6.48566E-4
1600	6.42007E-4
