WAVENUMBER	INTENSITY	A1	A2	B
1/cm	Counts/s	SC+M Total Fit	SC lorentzian	M BWF
				
	5 pts SG smooth of INTENSITY"Counts/s"			
-229.22621	-49.49376	4.11212	0.0037	4.10842
-227.68269	-49.08543	4.11233	0.00371	4.10863
-226.13958	-49.1566	4.11255	0.00371	4.10883
-224.59686	-49.88245	4.11276	0.00372	4.10904
-223.05454	-50.52175	4.11298	0.00373	4.10925
-221.51263	-50.32602	4.11319	0.00373	4.10946
-219.97111	-49.20029	4.11341	0.00374	4.10967
-218.43	-48.96605	4.11362	0.00375	4.10987
-216.88928	-50.23487	4.11384	0.00375	4.11008
-215.34896	-51.95705	4.11405	0.00376	4.11029
-213.80905	-52.89323	4.11427	0.00377	4.1105
-212.26953	-54.21979	4.11448	0.00377	4.11071
-210.73041	-55.96555	4.1147	0.00378	4.11092
-209.19169	-56.42467	4.11492	0.00378	4.11113
-207.65337	-55.39518	4.11514	0.00379	4.11134
-206.11545	-54.602	4.11535	0.0038	4.11156
-204.57793	-55.50753	4.11557	0.0038	4.11177
-203.0408	-57.35074	4.11579	0.00381	4.11198
-201.50408	-59.47157	4.11601	0.00382	4.11219
-199.96775	-60.38752	4.11623	0.00382	4.1124
-198.43182	-60.71481	4.11645	0.00383	4.11262
-196.89629	-60.76584	4.11667	0.00384	4.11283
-195.36116	-61.3	4.11689	0.00384	4.11304
-193.82642	-61.57116	4.11711	0.00385	4.11326
-192.29208	-62.4987	4.11733	0.00386	4.11347
-190.75814	-64.03117	4.11755	0.00386	4.11369
-189.2246	-65.1175	4.11777	0.00387	4.1139
-187.69146	-63.8263	4.11799	0.00388	4.11412
-186.15871	-61.31715	4.11822	0.00388	4.11433
-184.62636	-60.91292	4.11844	0.00389	4.11455
-183.09441	-64.04591	4.11866	0.0039	4.11476
-181.56285	-66.90493	4.11888	0.0039	4.11498
-180.03169	-66.17156	4.11911	0.00391	4.1152
-178.50093	-63.3328	4.11933	0.00392	4.11541
-176.97057	-62.55765	4.11956	0.00392	4.11563
