NMINDEX	E11	Diameter	Angle	E11Width	SolutionVector	Abundance	RelAbundance	TotalPower	TotalQuanta	PeakArea636	PeakArea671	PeakArea783	PeakArea532	RELABUNDANCECO	Efficiency	DG	DGbyRange	G'G	G	DDGbyRan	A1	A	RamanFit SC	RamanFit SC1	RamanFit SC2
Used NM	cm-1	nm	degree	cm-1	Solution Area	Abundance	Relative abundance	Total Power with lasers	Total Quanta with lasers	Total Quanta	Total Quanta	Total Quanta	Total Quanta	Relative Weight Corrected	Efficiency (636,671,783,532)	D/G	D/G by Range	G'/G	G	D/(D+G) by Range		Q value			
6,4	11185.47013	0.69212	23.41322	248.67503	5.08727	31.11038	0.01444	1.76942E-10	9.77251E8	7.2451E6	1.41765E7	1.87033E7	1.83668E6	0.0091	0.33506	0.1268	0.29507	0.17947	126.56476	0.22784			0.64166	0.64226	0.64494
9,1	10790.67362	0.75735	5.20872	233.79605	3.84656	10.39044	0.00482	4.08464E-10	2.2709E9	6.04507E6	1.94346E7	1.07549E7	767041.63283	0.00267	0.77347	0.93353						0.70493			
8,3	10386.01794	0.78191	15.29534	176.14629	12.35872	33.06989	0.01535	2.09048E-10	1.16236E9	1.97876E7	1.71494E8	1.98113E7	1.73879E6	0.00961	0.39585										
6,5	10145.23759	0.75735	26.99551	239.03142	51.47203	343.75463	0.15955	2.78482E-11	1.5285E8	8.21775E7	1.68145E8	1.36702E8	1.7543E7	0.1417	0.05273										
7,3	9752.78991	0.70565	16.99609	284.82595	41.98269	298.26506	0.13844			6.74164E7	1.4282E8	1.16419E8	2.08732E7	0.11575											
7,5	9639.14035	0.82887	24.50363	203.91119	190.89299	204.06614	0.09472			3.02637E8	3.40385E8	9.33788E7	1.19508E7	0.07694											
8,1	9484.72217	0.67832	5.81753	149.37368	18.81703	136.18984	0.06321			3.02208E7	6.43858E7	5.2312E7	6.07737E6	0.08077											
10,2	9315.01043	0.88406	8.94828	248.03605	30.54164	117.43233	0.05451			4.89144E7	1.23674E8	1.04465E8	8.70624E6	0.02972											
9,4	8983.28443	0.91559	17.48017	227.0141	29.66332	79.0078	0.03667			4.74142E7	9.81631E7	8.14601E7	9.62334E6	0.03072											
8,4	8840.43939	0.8402	19.10661	236.20401	66.94222	254.39331	0.11808			1.05738E8	1.639E8	1.10551E8	1.9085E7	0.13735											
7,6	8737.38015	0.8947	27.45708	249.24233	92.10221	129.16318	0.05995			1.44514E8	2.30416E8	5.82502E7	8.90483E6	0.078											
9,2	8474.58649	0.80573	9.82643	238.41307	32.09912	189.96052	0.08817			5.11016E7	1.00609E8	7.70647E7	1.30337E7	0.10908											
12,1	8690.25433	0.99477	3.96323	309.52226	0	0	0			0	0	0	0	0											
8,6	8279.00679	0.96584	25.285	208.44437	24.79949	83.59833	0.0388			3.93106E7	9.19776E7	7.91669E7	8.02656E6	0.04383											
11,3	8099.4371	1.0136	11.74153	199.04636	11.53615	47.04007	0.02183			1.85294E7	2.39706E7	3.36622E7	1.77645E6	0.01347											
9,5	7947.9259	0.97558	20.633	219.62277	7.17696	24.02991	0.01115			1.14485E7	1.22302E8	1.46776E7	1.33801E6	0.01334											
10,3	7892.20282	0.93601	12.73053	197.409	7.89416	6.95391	0.00323			1.2608E7	5.58296E6	2.77017E6	279690.79203	0.00447											
10,5	7891.34584	1.05025	19.10661	182.65685	2.33943	9.72089	0.00451			3.76349E6	8.21721E6	3.74476E7	576910.80968	0.00402											
8,7	7725.47694	1.03209	27.79577	199.26333	25.81429	79.76555	0.03702			4.1313E7	9.68042E7	8.58661E7	8.81728E6	0.04415											
9,7	7459.21059	1.10294	25.87219	181.69244	0	0	0			0	0	0	0	0											
11,4	7539.89053	1.0681	14.92086	189.92273	23.66599	57.82654	0.02684			3.779E7	7.1206E7	5.66295E7	5.38429E6	0.04209											
12,2	7308.7554	1.04121	7.58909	180.01337	2.64668	6.46824	0.003			4.20398E6	2.26706E7	5.8671E6	473113.66307	0.00481											
10,6	7338.27054	1.11148	21.78679	207.92127	2.89361	12.27004	0.0057			4.6034E6	2.5777E7	2.08613E7	740302.58862	0.00841											
11,6	7128.54628	1.18557	20.3626	194.93957	0	0	0			0	0	0	0	0											
9,8	7019.42276	1.16951	28.05488	190.32524	0	0	0			0	0	0	0	0											
