WAVELENGTH	ABS
nm	Abs
369.55499	0
369.72289	0
369.89079	0
370.05868	0
370.22656	0
370.39443	0
370.56231	0
370.73017	0
370.89803	0
371.06588	0
371.23373	0
371.40157	0
371.5694	0
371.73723	0
371.90506	0
372.07287	0
372.24068	0
372.40849	0
372.57629	0
372.74408	0
372.91187	0
373.07965	0
373.24743	0
373.4152	0
373.58296	0
373.75072	0
373.91847	0
374.08621	0
374.25395	0
374.42169	0
374.58941	0
374.75714	0
374.92485	0
375.09256	0
375.26026	0
375.42796	0
375.59565	0
375.76334	0
375.93102	0
376.09869	0
376.26636	0
376.43402	0
376.60168	0
376.76933	0
376.93697	0
377.10461	0
377.27224	0
377.43987	0
377.60749	0
377.7751	0
377.94271	0
378.11031	0
378.27791	0
378.4455	0
378.61308	0
378.78066	0
378.94823	0
379.11579	0
379.28335	0
379.45091	0
379.61846	0
379.786	0
379.95353	0
380.12106	0
380.28859	0
380.4561	0
380.62361	0
380.79112	0
380.95862	0
381.12611	0
381.2936	0
381.46108	0
381.62856	0
381.79603	0
381.96349	0
382.13095	0
382.2984	0
382.46584	0
382.63328	-1.78257
382.80072	-1.02796
382.96814	-1.06587
383.13556	-1.57738
383.30298	-1.1946
383.47039	-0.75335
383.63779	-0.84745
383.80519	-1.059
383.97258	-0.73612
384.13996	-0.5205
384.30734	-0.46134
384.47471	-0.47816
384.64208	-0.478
384.80944	-0.48043
384.97679	-0.56693
385.14414	-0.66816
385.31148	-0.68103
385.47882	-0.55127
385.64615	-0.38164
385.81348	-0.31836
385.98079	-0.28797
386.1481	-0.24646
386.31541	-0.27319
386.48271	-0.3032
386.65	-0.2258
386.81729	-0.1539
386.98457	-0.15112
387.15185	-0.1595
387.31912	-0.14819
387.48638	-0.1489
387.65364	-0.13677
387.82089	-0.08995
387.98813	-0.08051
388.15537	-0.11261
388.32261	-0.10754
388.48983	-0.03793
388.65705	0.00487
388.82427	-0.00114
388.99148	0.00905
389.15868	0.03405
389.32588	0.05195
389.49307	0.04451
389.66025	0.0438
389.82743	0.07277
389.9946	0.07653
390.16177	0.05595
390.32893	0.06031
390.49608	0.07433
390.66323	0.06037
390.83037	0.06068
390.9975	0.08466
391.16463	0.09245
391.33175	0.1078
391.49887	0.1451
391.66598	0.16237
391.83309	0.15163
392.00019	0.14038
392.16728	0.16181
392.33436	0.17343
392.50144	0.14678
392.66852	0.16546
392.83559	0.19607
393.00265	0.18693
393.1697	0.1899
393.33675	0.21705
393.5038	0.23845
393.67083	0.2331
393.83787	0.22339
394.00489	0.23767
394.17191	0.24448
394.33892	0.23443
394.50593	0.24169
394.67293	0.27028
394.83992	0.27884
395.00691	0.27351
395.17389	0.29089
395.34087	0.30357
395.50784	0.30929
395.6748	0.32193
395.84176	0.32341
396.00871	0.31338
396.17566	0.31617
396.3426	0.34167
396.50953	0.3445
396.67646	0.32542
396.84338	0.33313
397.01029	0.33404
397.1772	0.32425
397.3441	0.34731
397.511	0.35846
397.67789	0.33477
397.84477	0.33345
398.01165	0.36188
398.17852	0.37502
398.34538	0.3639
398.51224	0.36218
398.67909	0.37573
398.84594	0.3789
399.01278	0.38697
399.17962	0.40678
399.34644	0.39139
399.51327	0.37374
399.68008	0.3831
399.84689	0.38272
400.01369	0.38426
400.18049	0.40099
400.34728	0.40061
400.51407	0.38753
400.68084	0.38628
400.84762	0.4
401.01438	0.4174
401.18114	0.4265
401.3479	0.43131
401.51464	0.42229
401.68139	0.41299
401.84812	0.42294
402.01485	0.42442
402.18157	0.41631
402.34829	0.42358
402.515	0.43006
402.6817	0.42988
402.8484	0.43423
403.01509	0.43421
403.18178	0.43575
403.34846	0.44425
403.51513	0.44687
403.6818	0.44379
403.84846	0.45031
404.01511	0.46008
404.18176	0.45576
404.3484	0.45206
404.51504	0.45268
404.68167	0.44759
404.84829	0.44084
405.01491	0.44185
405.18152	0.45103
405.34812	0.45902
405.51472	0.46568
405.68131	0.46363
405.8479	0.45811
406.01448	0.46399
406.18105	0.46748
406.34762	0.46296
406.51418	0.46184
406.68074	0.46095
406.84729	0.46224
407.01383	0.46801
407.18036	0.47097
407.34689	0.47487
407.51342	0.47599
407.67993	0.47178
407.84645	0.46906
408.01295	0.47342
408.17945	0.48241
408.34594	0.48504
408.51243	0.48026
408.67891	0.4802
408.84538	0.48555
409.01185	0.48361
409.17831	0.48014
409.34476	0.48338
409.51121	0.49013
409.67765	0.49552
409.84409	0.49383
410.01052	0.48417
410.17694	0.4801
410.34336	0.49343
410.50977	0.50739
410.67618	0.50397
410.84257	0.49871
411.00897	0.49823
411.17535	0.4937
411.34173	0.49014
411.5081	0.49044
411.67447	0.49713
411.84083	0.50736
412.00719	0.50578
412.17353	0.50415
412.33988	0.50558
412.50621	0.50008
412.67254	0.50029
412.83886	0.50471
413.00518	0.50571
413.17149	0.50486
413.3378	0.50501
413.50409	0.50451
413.67038	0.50792
413.83667	0.51451
414.00295	0.51289
414.16922	0.51195
414.33549	0.51217
414.50175	0.5082
414.668	0.50737
414.83425	0.50863
415.00049	0.51129
415.16672	0.51117
415.33295	0.50677
415.49917	0.50791
415.66539	0.51388
415.8316	0.51662
415.9978	0.5165
416.164	0.51617
416.33019	0.51497
416.49637	0.51313
416.66255	0.51059
416.82872	0.51182
416.99489	0.51635
417.16105	0.51904
417.3272	0.52077
417.49335	0.5192
417.65949	0.51436
417.82562	0.51444
417.99175	0.51587
418.15787	0.51137
418.32398	0.51203
418.49009	0.51699
418.65619	0.51491
418.82229	0.51156
