EMISSION	EXCITATION
800	450
802	452
804	454
806	456
808	458
810	460
812	462
814	464
816	466
818	468
820	470
822	472
824	474
826	476
828	478
830	480
832	482
834	484
836	486
838	488
840	490
842	492
844	494
846	496
848	498
850	500
852	502
854	504
856	506
858	508
860	510
862	512
864	514
866	516
868	518
870	520
872	522
874	524
876	526
878	528
880	530
882	532
884	534
886	536
888	538
890	540
892	542
894	544
896	546
898	548
900	550
902	552
904	554
906	556
908	558
910	560
912	562
914	564
916	566
918	568
920	570
922	572
924	574
926	576
928	578
930	580
932	582
934	584
936	586
938	588
940	590
942	592
944	594
946	596
948	598
950	600
952	602
954	604
956	606
958	608
960	610
962	612
964	614
966	616
968	618
970	620
972	622
974	624
976	626
978	628
980	630
982	632
984	634
986	636
988	638
990	640
992	642
994	644
996	646
998	648
1000	650
1002	652
1004	654
1006	656
1008	658
1010	660
1012	662
1014	664
1016	666
1018	668
1020	670
1022	672
1024	674
1026	676
1028	678
1030	680
1032	682
1034	684
1036	686
1038	688
1040	690
1042	692
1044	694
1046	696
1048	698
1050	700
1052	702
1054	704
1056	706
1058	708
1060	710
1062	712
1064	714
1066	716
1068	718
1070	720
1072	722
1074	724
1076	726
1078	728
1080	730
1082	732
1084	734
1086	736
1088	738
1090	740
1092	742
1094	744
1096	746
1098	748
1100	750
1102	752
1104	754
1106	756
1108	758
1110	760
1112	762
1114	764
1116	766
1118	768
1120	770
1122	772
1124	774
1126	776
1128	778
1130	780
1132	782
1134	784
1136	786
1138	788
1140	790
1142	792
1144	794
1146	796
1148	798
1150	800
1152	802
1154	804
1156	806
1158	808
1160	810
1162	812
1164	814
1166	816
1168	818
1170	820
1172	822
1174	824
1176	826
1178	828
1180	830
1182	832
1184	834
1186	836
1188	838
1190	840
1192	842
1194	844
1196	846
1198	848
1200	850
1202	852
1204	854
1206	856
1208	858
1210	860
1212	862
1214	864
1216	866
1218	868
1220	870
1222	872
1224	874
1226	876
1228	878
1230	880
1232	882
1234	884
1236	886
1238	888
1240	890
1242	892
1244	894
1246	896
1248	898
1250	900
1252	
1254	
1256	
1258	
1260	
1262	
1264	
1266	
1268	
1270	
1272	
1274	
1276	
1278	
1280	
1282	
1284	
1286	
1288	
1290	
1292	
1294	
1296	
1298	
1300	
1302	
1304	
1306	
1308	
1310	
1312	
1314	
1316	
1318	
1320	
1322	
1324	
1326	
1328	
1330	
1332	
1334	
1336	
1338	
1340	
1342	
1344	
1346	
1348	
1350	
1352	
1354	
1356	
1358	
1360	
1362	
1364	
1366	
1368	
1370	
1372	
1374	
1376	
1378	
1380	
1382	
1384	
1386	
1388	
1390	
1392	
1394	
1396	
1398	
1400	
1402	
1404	
1406	
1408	
1410	
1412	
1414	
1416	
1418	
1420	
1422	
1424	
1426	
1428	
1430	
1432	
1434	
1436	
1438	
1440	
1442	
1444	
1446	
1448	
1450	
1452	
1454	
1456	
1458	
1460	
1462	
1464	
1466	
1468	
1470	
1472	
1474	
1476	
1478	
1480	
1482	
1484	
1486	
1488	
1490	
1492	
1494	
1496	
1498	
1500	
1502	
1504	
1506	
1508	
1510	
1512	
1514	
1516	
1518	
1520	
1522	
1524	
1526	
1528	
1530	
1532	
1534	
1536	
1538	
1540	
1542	
1544	
1546	
1548	
1550	
1552	
1554	
1556	
1558	
1560	
1562	
1564	
1566	
1568	
1570	
1572	
1574	
1576	
1578	
1580	
1582	
1584	
1586	
1588	
1590	
1592	
1594	
1596	
1598	
1600	
