"New 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,1.707
450.50,1.707
451.00,1.708
451.50,1.709
452.00,1.710
452.50,1.711
453.00,1.713
453.50,1.715
454.00,1.716
454.50,1.718
455.00,1.720
455.50,1.723
456.00,1.725
456.50,1.728
457.00,1.731
457.50,1.734
458.00,1.737
458.50,1.739
459.00,1.742
459.50,1.746
460.00,1.749
460.50,1.751
461.00,1.755
461.50,1.758
462.00,1.760
462.50,1.763
463.00,1.767
463.50,1.769
464.00,1.771
464.50,1.773
465.00,1.775
465.50,1.777
466.00,1.778
466.50,1.779
467.00,1.779
467.50,1.780
468.00,1.779
468.50,1.778
469.00,1.778
469.50,1.776
470.00,1.774
470.50,1.772
471.00,1.770
471.50,1.767
472.00,1.763
472.50,1.759
473.00,1.754
473.50,1.750
474.00,1.745
474.50,1.741
475.00,1.736
475.50,1.730
476.00,1.724
476.50,1.717
477.00,1.711
477.50,1.705
478.00,1.698
478.50,1.691
479.00,1.684
479.50,1.677
480.00,1.670
480.50,1.664
481.00,1.657
481.50,1.650
482.00,1.643
482.50,1.636
483.00,1.630
483.50,1.624
484.00,1.618
484.50,1.612
485.00,1.606
485.50,1.600
486.00,1.595
486.50,1.590
487.00,1.585
487.50,1.580
488.00,1.576
488.50,1.572
489.00,1.569
489.50,1.565
490.00,1.562
490.50,1.559
491.00,1.557
491.50,1.554
492.00,1.552
492.50,1.550
493.00,1.549
493.50,1.547
494.00,1.546
494.50,1.546
495.00,1.545
495.50,1.545
496.00,1.545
496.50,1.545
497.00,1.546
497.50,1.547
498.00,1.548
498.50,1.549
499.00,1.550
499.50,1.552
500.00,1.554
500.50,1.556
501.00,1.558
501.50,1.560
502.00,1.563
502.50,1.566
503.00,1.569
503.50,1.571
504.00,1.574
504.50,1.577
505.00,1.580
505.50,1.583
506.00,1.585
506.50,1.588
507.00,1.590
507.50,1.593
508.00,1.595
508.50,1.597
509.00,1.600
509.50,1.601
510.00,1.603
510.50,1.605
511.00,1.607
511.50,1.608
512.00,1.609
512.50,1.610
513.00,1.611
513.50,1.612
514.00,1.612
514.50,1.613
515.00,1.613
515.50,1.613
516.00,1.614
516.50,1.614
517.00,1.613
517.50,1.613
518.00,1.613
518.50,1.612
519.00,1.611
519.50,1.611
520.00,1.610
520.50,1.609
521.00,1.608
521.50,1.606
522.00,1.605
522.50,1.603
523.00,1.602
523.50,1.600
524.00,1.598
524.50,1.596
525.00,1.594
525.50,1.592
526.00,1.590
526.50,1.587
527.00,1.585
527.50,1.583
528.00,1.581
528.50,1.578
529.00,1.576
529.50,1.574
530.00,1.572
530.50,1.569
531.00,1.567
531.50,1.565
532.00,1.563
532.50,1.561
533.00,1.558
533.50,1.557
534.00,1.554
534.50,1.552
535.00,1.551
535.50,1.549
536.00,1.547
536.50,1.546
537.00,1.545
537.50,1.543
538.00,1.542
538.50,1.541
539.00,1.540
539.50,1.539
540.00,1.539
540.50,1.538
541.00,1.538
541.50,1.538
542.00,1.537
542.50,1.538
543.00,1.538
543.50,1.538
544.00,1.539
544.50,1.540
545.00,1.542
545.50,1.543
546.00,1.545
546.50,1.546
547.00,1.548
547.50,1.551
548.00,1.553
548.50,1.557
549.00,1.560
549.50,1.563
550.00,1.567
550.50,1.570
551.00,1.574
551.50,1.578
552.00,1.582
552.50,1.587
553.00,1.592
553.50,1.597
554.00,1.602
554.50,1.608
555.00,1.614
555.50,1.620
556.00,1.627
556.50,1.634
557.00,1.641
557.50,1.649
558.00,1.656
558.50,1.665
559.00,1.673
559.50,1.682
560.00,1.691
560.50,1.701
561.00,1.711
561.50,1.721
562.00,1.731
562.50,1.742
563.00,1.753
563.50,1.763
564.00,1.773
564.50,1.783
565.00,1.794
565.50,1.805
566.00,1.815
566.50,1.825
567.00,1.835
567.50,1.844
568.00,1.853
568.50,1.862
569.00,1.871
569.50,1.880
570.00,1.887
570.50,1.895
571.00,1.901
571.50,1.908
572.00,1.914
572.50,1.919
573.00,1.926
573.50,1.931
574.00,1.935
574.50,1.940
575.00,1.945
575.50,1.949
576.00,1.954
576.50,1.958
577.00,1.962
