"New 24DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,0.101
450.50,0.101
451.00,0.101
451.50,0.101
452.00,0.102
452.50,0.102
453.00,0.102
453.50,0.102
454.00,0.102
454.50,0.102
455.00,0.102
455.50,0.102
456.00,0.103
456.50,0.103
457.00,0.103
457.50,0.103
458.00,0.103
458.50,0.104
459.00,0.104
459.50,0.104
460.00,0.104
460.50,0.104
461.00,0.104
461.50,0.105
462.00,0.105
462.50,0.105
463.00,0.105
463.50,0.105
464.00,0.105
464.50,0.106
465.00,0.106
465.50,0.106
466.00,0.106
466.50,0.106
467.00,0.106
467.50,0.106
468.00,0.106
468.50,0.106
469.00,0.106
469.50,0.106
470.00,0.106
470.50,0.105
471.00,0.105
471.50,0.105
472.00,0.105
472.50,0.105
473.00,0.104
473.50,0.104
474.00,0.104
474.50,0.103
475.00,0.103
475.50,0.103
476.00,0.102
476.50,0.102
477.00,0.102
477.50,0.101
478.00,0.101
478.50,0.101
479.00,0.100
479.50,0.100
480.00,0.099
480.50,0.099
481.00,0.098
481.50,0.098
482.00,0.098
482.50,0.097
483.00,0.097
483.50,0.096
484.00,0.096
484.50,0.096
485.00,0.095
485.50,0.095
486.00,0.095
486.50,0.094
487.00,0.094
487.50,0.094
488.00,0.093
488.50,0.093
489.00,0.093
489.50,0.093
490.00,0.093
490.50,0.093
491.00,0.092
491.50,0.092
492.00,0.092
492.50,0.092
493.00,0.092
493.50,0.092
494.00,0.092
494.50,0.092
495.00,0.092
495.50,0.092
496.00,0.092
496.50,0.092
497.00,0.092
497.50,0.092
498.00,0.092
498.50,0.092
499.00,0.092
499.50,0.092
500.00,0.092
500.50,0.092
501.00,0.092
501.50,0.092
502.00,0.093
502.50,0.093
503.00,0.093
503.50,0.093
504.00,0.093
504.50,0.094
505.00,0.094
505.50,0.094
506.00,0.094
506.50,0.094
507.00,0.094
507.50,0.095
508.00,0.095
508.50,0.095
509.00,0.095
509.50,0.095
510.00,0.095
510.50,0.095
511.00,0.096
511.50,0.096
512.00,0.096
512.50,0.096
513.00,0.096
513.50,0.096
514.00,0.096
514.50,0.096
515.00,0.096
515.50,0.096
516.00,0.096
516.50,0.096
517.00,0.096
517.50,0.096
518.00,0.096
518.50,0.096
519.00,0.096
519.50,0.096
520.00,0.096
520.50,0.096
521.00,0.096
521.50,0.096
522.00,0.095
522.50,0.095
523.00,0.095
523.50,0.095
524.00,0.095
524.50,0.095
525.00,0.095
525.50,0.095
526.00,0.094
526.50,0.094
527.00,0.094
527.50,0.094
528.00,0.094
528.50,0.094
529.00,0.094
529.50,0.093
530.00,0.093
530.50,0.093
531.00,0.093
531.50,0.093
532.00,0.093
532.50,0.093
533.00,0.092
533.50,0.092
534.00,0.092
534.50,0.092
535.00,0.092
535.50,0.092
536.00,0.092
536.50,0.092
537.00,0.092
537.50,0.091
538.00,0.091
538.50,0.091
539.00,0.091
539.50,0.091
540.00,0.091
540.50,0.091
541.00,0.091
541.50,0.091
542.00,0.091
542.50,0.091
543.00,0.091
543.50,0.091
544.00,0.091
544.50,0.091
545.00,0.091
545.50,0.091
546.00,0.091
546.50,0.092
547.00,0.092
547.50,0.092
548.00,0.092
548.50,0.092
549.00,0.092
549.50,0.093
550.00,0.093
550.50,0.093
551.00,0.093
551.50,0.094
552.00,0.094
552.50,0.094
553.00,0.094
553.50,0.095
554.00,0.095
554.50,0.095
555.00,0.096
555.50,0.096
556.00,0.097
556.50,0.097
557.00,0.097
557.50,0.098
558.00,0.098
558.50,0.099
559.00,0.099
559.50,0.100
560.00,0.101
560.50,0.101
561.00,0.102
561.50,0.102
562.00,0.103
562.50,0.104
563.00,0.104
563.50,0.105
564.00,0.106
564.50,0.107
565.00,0.107
565.50,0.108
566.00,0.109
566.50,0.109
567.00,0.110
567.50,0.111
568.00,0.111
568.50,0.112
569.00,0.112
569.50,0.113
570.00,0.113
570.50,0.114
571.00,0.114
571.50,0.115
572.00,0.115
572.50,0.116
573.00,0.116
573.50,0.116
574.00,0.116
574.50,0.117
575.00,0.117
575.50,0.117
576.00,0.117
576.50,0.118
577.00,0.118
577.50,0.118
578.00,0.118
578.50,0.118
579.00,0.118
579.50,0.119
580.00,0.119
580.50,0.119
581.00,0.119
581.50,0.119
582.00,0.119
582.50,0.119
583.00,0.119
583.50,0.119
584.00,0.119
584.50,0.119
585.00,0.119
585.50,0.119
586.00,0.119
586.50,0.119
587.00,0.119
587.50,0.119
588.00,0.119
588.50,0.118
589.00,0.118
589.50,0.118
590.00,0.118
590.50,0.117
591.00,0.117
591.50,0.117
592.00,0.117
592.50,0.116
593.00,0.116
593.50,0.116
594.00,0.115
594.50,0.115
595.00,0.114
595.50,0.114
596.00,0.114
596.50,0.113
597.00,0.113
597.50,0.112
598.00,0.112
598.50,0.111
599.00,0.111
599.50,0.110
600.00,0.110
600.50,0.109
601.00,0.109
601.50,0.108
602.00,0.108
602.50,0.107
603.00,0.106
603.50,0.106
604.00,0.105
604.50,0.105
605.00,0.104
605.50,0.104
606.00,0.103
606.50,0.103
607.00,0.102
607.50,0.102
608.00,0.101
608.50,0.101
609.00,0.100
609.50,0.100
610.00,0.099
610.50,0.099
611.00,0.098
611.50,0.097
612.00,0.097
612.50,0.096
613.00,0.096
613.50,0.096
614.00,0.095
614.50,0.095
615.00,0.094
615.50,0.094
616.00,0.093
616.50,0.093
617.00,0.092
617.50,0.092
618.00,0.091
618.50,0.091
619.00,0.091
619.50,0.090
620.00,0.090
620.50,0.090
621.00,0.089
621.50,0.089
622.00,0.089
622.50,0.088
623.00,0.088
623.50,0.088
624.00,0.087
624.50,0.087
625.00,0.087
625.50,0.086
626.00,0.086
626.50,0.086
627.00,0.086
627.50,0.086
628.00,0.085
628.50,0.085
629.00,0.085
629.50,0.085
630.00,0.085
630.50,0.084
631.00,0.084
631.50,0.084
632.00,0.084
632.50,0.084
633.00,0.084
633.50,0.084
634.00,0.084
634.50,0.084
635.00,0.084
635.50,0.084
636.00,0.084
636.50,0.084
637.00,0.084
637.50,0.084
638.00,0.084
638.50,0.084
639.00,0.084
639.50,0.084
640.00,0.084
640.50,0.084
641.00,0.084
641.50,0.085
642.00,0.085
642.50,0.085
643.00,0.085
643.50,0.085
644.00,0.085
644.50,0.085
645.00,0.085
645.50,0.086
646.00,0.086
646.50,0.086
647.00,0.086
647.50,0.086
648.00,0.086
648.50,0.087
649.00,0.087
649.50,0.087
650.00,0.087
650.50,0.087
651.00,0.087
651.50,0.087
652.00,0.088
652.50,0.088
653.00,0.088
653.50,0.088
654.00,0.088
654.50,0.088
655.00,0.088
655.50,0.088
656.00,0.089
656.50,0.089
657.00,0.089
657.50,0.089
658.00,0.089
658.50,0.089
659.00,0.089
659.50,0.089
