"Original 1.5DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,0.256
450.50,0.256
451.00,0.256
451.50,0.256
452.00,0.256
452.50,0.257
453.00,0.257
453.50,0.257
454.00,0.258
454.50,0.258
455.00,0.258
455.50,0.259
456.00,0.259
456.50,0.260
457.00,0.260
457.50,0.261
458.00,0.261
458.50,0.262
459.00,0.262
459.50,0.262
460.00,0.263
460.50,0.263
461.00,0.264
461.50,0.264
462.00,0.265
462.50,0.265
463.00,0.266
463.50,0.266
464.00,0.267
464.50,0.267
465.00,0.267
465.50,0.267
466.00,0.268
466.50,0.268
467.00,0.268
467.50,0.268
468.00,0.268
468.50,0.268
469.00,0.268
469.50,0.268
470.00,0.267
470.50,0.267
471.00,0.267
471.50,0.266
472.00,0.266
472.50,0.265
473.00,0.264
473.50,0.264
474.00,0.263
474.50,0.262
475.00,0.261
475.50,0.260
476.00,0.259
476.50,0.258
477.00,0.257
477.50,0.256
478.00,0.255
478.50,0.254
479.00,0.253
479.50,0.252
480.00,0.251
480.50,0.250
481.00,0.249
481.50,0.248
482.00,0.247
482.50,0.246
483.00,0.245
483.50,0.244
484.00,0.243
484.50,0.242
485.00,0.241
485.50,0.240
486.00,0.239
486.50,0.238
487.00,0.237
487.50,0.237
488.00,0.236
488.50,0.236
489.00,0.235
489.50,0.235
490.00,0.234
490.50,0.234
491.00,0.233
491.50,0.233
492.00,0.232
492.50,0.232
493.00,0.232
493.50,0.232
494.00,0.231
494.50,0.231
495.00,0.231
495.50,0.231
496.00,0.231
496.50,0.231
497.00,0.231
497.50,0.231
498.00,0.231
498.50,0.232
499.00,0.232
499.50,0.232
500.00,0.232
500.50,0.233
501.00,0.233
501.50,0.233
502.00,0.234
502.50,0.234
503.00,0.234
503.50,0.235
504.00,0.235
504.50,0.236
505.00,0.236
505.50,0.236
506.00,0.237
506.50,0.237
507.00,0.238
507.50,0.238
508.00,0.239
508.50,0.239
509.00,0.240
509.50,0.240
510.00,0.240
510.50,0.241
511.00,0.241
511.50,0.241
512.00,0.242
512.50,0.242
513.00,0.242
513.50,0.243
514.00,0.243
514.50,0.243
515.00,0.243
515.50,0.243
516.00,0.243
516.50,0.243
517.00,0.243
517.50,0.243
518.00,0.243
518.50,0.243
519.00,0.243
519.50,0.243
520.00,0.243
520.50,0.243
521.00,0.243
521.50,0.242
522.00,0.242
522.50,0.242
523.00,0.242
523.50,0.241
524.00,0.241
524.50,0.241
525.00,0.240
525.50,0.240
526.00,0.240
526.50,0.240
527.00,0.239
527.50,0.239
528.00,0.238
528.50,0.238
529.00,0.238
529.50,0.237
530.00,0.237
530.50,0.236
531.00,0.236
531.50,0.236
532.00,0.235
532.50,0.235
533.00,0.234
533.50,0.234
534.00,0.234
534.50,0.233
535.00,0.233
535.50,0.233
536.00,0.232
536.50,0.232
537.00,0.232
537.50,0.232
538.00,0.231
538.50,0.231
539.00,0.231
539.50,0.231
540.00,0.231
540.50,0.231
541.00,0.231
541.50,0.230
542.00,0.230
542.50,0.230
543.00,0.231
543.50,0.231
544.00,0.231
544.50,0.231
545.00,0.231
545.50,0.231
546.00,0.231
546.50,0.232
547.00,0.232
547.50,0.232
548.00,0.232
548.50,0.233
549.00,0.233
549.50,0.234
550.00,0.234
550.50,0.235
551.00,0.235
551.50,0.236
552.00,0.237
552.50,0.237
553.00,0.238
553.50,0.239
554.00,0.240
554.50,0.240
555.00,0.241
555.50,0.242
556.00,0.243
556.50,0.244
557.00,0.246
557.50,0.247
558.00,0.248
558.50,0.249
559.00,0.251
559.50,0.252
560.00,0.253
560.50,0.255
561.00,0.256
561.50,0.258
562.00,0.259
562.50,0.261
563.00,0.263
563.50,0.264
564.00,0.266
564.50,0.268
565.00,0.270
565.50,0.271
566.00,0.273
566.50,0.275
567.00,0.277
567.50,0.279
568.00,0.280
568.50,0.282
569.00,0.284
569.50,0.285
570.00,0.287
570.50,0.288
571.00,0.290
571.50,0.291
572.00,0.292
572.50,0.293
573.00,0.294
573.50,0.295
574.00,0.296
574.50,0.297
575.00,0.298
575.50,0.299
576.00,0.300
576.50,0.300
577.00,0.301
577.50,0.302
578.00,0.302
578.50,0.303
579.00,0.303
579.50,0.303
580.00,0.304
580.50,0.304
581.00,0.304
581.50,0.304
582.00,0.304
582.50,0.304
583.00,0.305
583.50,0.304
584.00,0.304
584.50,0.304
585.00,0.304
585.50,0.304
586.00,0.304
586.50,0.303
587.00,0.303
587.50,0.303
588.00,0.302
588.50,0.302
589.00,0.301
589.50,0.301
590.00,0.300
590.50,0.300
591.00,0.299
591.50,0.298
592.00,0.297
592.50,0.297
593.00,0.296
593.50,0.295
594.00,0.294
594.50,0.293
595.00,0.292
595.50,0.291
596.00,0.290
596.50,0.289
597.00,0.288
597.50,0.287
598.00,0.286
598.50,0.284
599.00,0.283
599.50,0.282
600.00,0.281
600.50,0.279
601.00,0.278
601.50,0.277
602.00,0.275
602.50,0.274
603.00,0.273
603.50,0.271
604.00,0.270
604.50,0.268
605.00,0.267
605.50,0.266
606.00,0.264
606.50,0.263
607.00,0.261
607.50,0.260
608.00,0.258
608.50,0.257
609.00,0.256
609.50,0.254
610.00,0.253
610.50,0.251
611.00,0.250
611.50,0.248
612.00,0.247
612.50,0.245
613.00,0.244
613.50,0.243
614.00,0.241
614.50,0.240
615.00,0.239
615.50,0.238
616.00,0.236
616.50,0.235
617.00,0.234
617.50,0.233
618.00,0.232
618.50,0.231
619.00,0.229
619.50,0.228
620.00,0.227
620.50,0.226
621.00,0.225
621.50,0.224
622.00,0.224
622.50,0.223
623.00,0.222
623.50,0.221
624.00,0.220
624.50,0.219
625.00,0.219
625.50,0.218
626.00,0.217
626.50,0.217
627.00,0.216
627.50,0.215
628.00,0.215
628.50,0.214
629.00,0.214
629.50,0.213
630.00,0.213
630.50,0.213
631.00,0.212
631.50,0.212
632.00,0.212
632.50,0.211
633.00,0.211
633.50,0.211
634.00,0.211
634.50,0.211
635.00,0.211
635.50,0.211
636.00,0.211
636.50,0.211
637.00,0.211
637.50,0.211
638.00,0.211
638.50,0.211
639.00,0.211
639.50,0.211
640.00,0.212
640.50,0.212
641.00,0.212
641.50,0.212
642.00,0.213
642.50,0.213
643.00,0.214
643.50,0.214
644.00,0.214
644.50,0.215
645.00,0.215
645.50,0.216
646.00,0.216
646.50,0.217
647.00,0.217
647.50,0.218
648.00,0.218
648.50,0.219
649.00,0.219
649.50,0.219
650.00,0.220
650.50,0.220
651.00,0.221
651.50,0.221
652.00,0.222
652.50,0.222
653.00,0.222
653.50,0.223
654.00,0.223
654.50,0.224
655.00,0.224
655.50,0.224
656.00,0.225
656.50,0.225
657.00,0.225
657.50,0.225
658.00,0.226
658.50,0.226
659.00,0.226
659.50,0.226
660.00,0.226
660.50,0.227
661.00,0.227
661.50,0.227
662.00,0.227
662.50,0.227
663.00,0.227
663.50,0.227
664.00,0.227
664.50,0.227
665.00,0.227
665.50,0.227
666.00,0.227
666.50,0.227
667.00,0.227
667.50,0.227
668.00,0.227
668.50,0.226
669.00,0.226
669.50,0.226
670.00,0.226
670.50,0.225
671.00,0.225
671.50,0.225
672.00,0.224
672.50,0.224
673.00,0.223
673.50,0.223
674.00,0.223
674.50,0.222
675.00,0.222
675.50,0.221
676.00,0.221
676.50,0.220
677.00,0.219
677.50,0.219
678.00,0.218
678.50,0.218
679.00,0.217
679.50,0.216
680.00,0.216
680.50,0.215
681.00,0.214
681.50,0.214
682.00,0.213
682.50,0.212
683.00,0.212
683.50,0.211
684.00,0.210
684.50,0.210
685.00,0.209
685.50,0.208
686.00,0.208
686.50,0.207
687.00,0.206
687.50,0.206
688.00,0.205
688.50,0.204
689.00,0.204
689.50,0.203
690.00,0.202
