"Original 12DF.spc - RawData"
"Wavelength nm.","Abs."
450.00,0.030
450.50,0.030
451.00,0.030
451.50,0.030
452.00,0.030
452.50,0.030
453.00,0.030
453.50,0.030
454.00,0.030
454.50,0.030
455.00,0.030
455.50,0.030
456.00,0.030
456.50,0.030
457.00,0.030
457.50,0.030
458.00,0.031
458.50,0.031
459.00,0.031
459.50,0.031
460.00,0.031
460.50,0.031
461.00,0.031
461.50,0.031
462.00,0.031
462.50,0.031
463.00,0.031
463.50,0.031
464.00,0.031
464.50,0.031
465.00,0.031
465.50,0.031
466.00,0.031
466.50,0.031
467.00,0.031
467.50,0.031
468.00,0.031
468.50,0.031
469.00,0.031
469.50,0.031
470.00,0.031
470.50,0.031
471.00,0.031
471.50,0.031
472.00,0.031
472.50,0.031
473.00,0.031
473.50,0.031
474.00,0.031
474.50,0.031
475.00,0.031
475.50,0.030
476.00,0.030
476.50,0.030
477.00,0.030
477.50,0.030
478.00,0.030
478.50,0.030
479.00,0.030
479.50,0.029
480.00,0.029
480.50,0.029
481.00,0.029
481.50,0.029
482.00,0.029
482.50,0.029
483.00,0.028
483.50,0.028
484.00,0.028
484.50,0.028
485.00,0.028
485.50,0.028
486.00,0.028
486.50,0.028
487.00,0.028
487.50,0.028
488.00,0.027
488.50,0.027
489.00,0.027
489.50,0.027
490.00,0.027
490.50,0.027
491.00,0.027
491.50,0.027
492.00,0.027
492.50,0.027
493.00,0.027
493.50,0.027
494.00,0.027
494.50,0.027
495.00,0.027
495.50,0.027
496.00,0.027
496.50,0.027
497.00,0.027
497.50,0.027
498.00,0.027
498.50,0.027
499.00,0.027
499.50,0.027
500.00,0.027
500.50,0.027
501.00,0.027
501.50,0.027
502.00,0.027
502.50,0.027
503.00,0.027
503.50,0.027
504.00,0.027
504.50,0.027
505.00,0.027
505.50,0.028
506.00,0.028
506.50,0.028
507.00,0.028
507.50,0.028
508.00,0.028
508.50,0.028
509.00,0.028
509.50,0.028
510.00,0.028
510.50,0.028
511.00,0.028
511.50,0.028
512.00,0.028
512.50,0.028
513.00,0.028
513.50,0.028
514.00,0.028
514.50,0.028
515.00,0.028
515.50,0.028
516.00,0.028
516.50,0.028
517.00,0.028
517.50,0.028
518.00,0.028
518.50,0.028
519.00,0.028
519.50,0.028
520.00,0.028
520.50,0.028
521.00,0.028
521.50,0.028
522.00,0.028
522.50,0.028
523.00,0.028
523.50,0.028
524.00,0.028
524.50,0.028
525.00,0.028
525.50,0.028
526.00,0.028
526.50,0.028
527.00,0.028
527.50,0.028
528.00,0.028
528.50,0.028
529.00,0.028
529.50,0.028
530.00,0.028
530.50,0.028
531.00,0.028
531.50,0.028
532.00,0.028
532.50,0.028
533.00,0.027
533.50,0.027
534.00,0.027
534.50,0.027
535.00,0.027
535.50,0.027
536.00,0.027
536.50,0.027
537.00,0.027
537.50,0.027
538.00,0.027
538.50,0.027
539.00,0.027
539.50,0.027
540.00,0.027
540.50,0.027
541.00,0.027
541.50,0.027
542.00,0.027
542.50,0.027
543.00,0.027
543.50,0.027
544.00,0.027
544.50,0.027
545.00,0.027
545.50,0.027
546.00,0.027
546.50,0.027
547.00,0.027
547.50,0.027
548.00,0.027
548.50,0.027
549.00,0.027
549.50,0.027
550.00,0.028
550.50,0.028
551.00,0.028
551.50,0.028
552.00,0.028
552.50,0.028
553.00,0.028
553.50,0.028
554.00,0.028
554.50,0.028
555.00,0.028
555.50,0.029
556.00,0.029
556.50,0.029
557.00,0.029
557.50,0.029
558.00,0.029
558.50,0.030
559.00,0.030
559.50,0.030
560.00,0.030
560.50,0.030
561.00,0.030
561.50,0.031
562.00,0.031
562.50,0.031
563.00,0.031
563.50,0.032
564.00,0.032
564.50,0.032
565.00,0.032
565.50,0.033
566.00,0.033
566.50,0.033
567.00,0.033
567.50,0.033
568.00,0.034
568.50,0.034
569.00,0.034
569.50,0.034
570.00,0.035
570.50,0.035
571.00,0.035
571.50,0.035
572.00,0.035
572.50,0.035
573.00,0.036
573.50,0.036
574.00,0.036
574.50,0.036
575.00,0.036
575.50,0.036
576.00,0.036
576.50,0.036
577.00,0.037
577.50,0.037
578.00,0.037
578.50,0.037
579.00,0.037
579.50,0.037
580.00,0.037
580.50,0.037
581.00,0.037
581.50,0.037
582.00,0.037
582.50,0.037
583.00,0.037
583.50,0.037
584.00,0.037
584.50,0.037
585.00,0.037
585.50,0.037
586.00,0.037
586.50,0.037
587.00,0.037
587.50,0.037
588.00,0.037
588.50,0.037
589.00,0.037
589.50,0.037
590.00,0.037
590.50,0.037
591.00,0.036
591.50,0.036
592.00,0.036
592.50,0.036
593.00,0.036
593.50,0.036
594.00,0.036
594.50,0.036
595.00,0.036
595.50,0.036
596.00,0.036
596.50,0.035
597.00,0.035
597.50,0.035
598.00,0.035
598.50,0.035
599.00,0.035
599.50,0.035
600.00,0.034
600.50,0.034
601.00,0.034
601.50,0.034
602.00,0.034
602.50,0.034
603.00,0.033
603.50,0.033
604.00,0.033
604.50,0.033
605.00,0.033
605.50,0.033
606.00,0.032
606.50,0.032
607.00,0.032
607.50,0.032
608.00,0.032
608.50,0.031
609.00,0.031
609.50,0.031
610.00,0.031
610.50,0.031
611.00,0.031
611.50,0.030
612.00,0.030
612.50,0.030
613.00,0.030
613.50,0.030
614.00,0.030
614.50,0.030
615.00,0.029
615.50,0.029
616.00,0.029
616.50,0.029
617.00,0.029
617.50,0.029
618.00,0.029
618.50,0.028
619.00,0.028
619.50,0.028
620.00,0.028
620.50,0.028
621.00,0.028
621.50,0.028
622.00,0.028
622.50,0.027
623.00,0.027
623.50,0.027
624.00,0.027
624.50,0.027
625.00,0.027
625.50,0.027
626.00,0.027
626.50,0.027
627.00,0.027
627.50,0.027
628.00,0.027
628.50,0.027
629.00,0.027
629.50,0.027
630.00,0.026
630.50,0.026
631.00,0.026
631.50,0.026
632.00,0.026
632.50,0.026
633.00,0.026
633.50,0.026
634.00,0.026
634.50,0.026
635.00,0.026
635.50,0.026
636.00,0.026
636.50,0.026
637.00,0.026
637.50,0.026
638.00,0.026
638.50,0.027
639.00,0.027
639.50,0.027
640.00,0.027
640.50,0.027
641.00,0.027
641.50,0.027
642.00,0.027
642.50,0.027
643.00,0.027
643.50,0.027
644.00,0.027
644.50,0.027
645.00,0.027
645.50,0.027
646.00,0.028
646.50,0.028
647.00,0.028
647.50,0.028
648.00,0.028
648.50,0.028
649.00,0.028
649.50,0.028
650.00,0.028
650.50,0.028
651.00,0.028
651.50,0.028
652.00,0.028
652.50,0.028
653.00,0.028
653.50,0.029
654.00,0.029
654.50,0.029
655.00,0.029
655.50,0.029
656.00,0.029
656.50,0.029
657.00,0.029
657.50,0.029
658.00,0.029
658.50,0.029
659.00,0.029
659.50,0.029
660.00,0.029
660.50,0.029
661.00,0.029
661.50,0.029
662.00,0.029
662.50,0.029
663.00,0.029
663.50,0.029
664.00,0.029
664.50,0.029
665.00,0.029
665.50,0.029
666.00,0.029
666.50,0.029
667.00,0.029
667.50,0.029
668.00,0.029
668.50,0.029
669.00,0.029
669.50,0.029
670.00,0.029
670.50,0.029
671.00,0.029
671.50,0.029
672.00,0.029
672.50,0.029
673.00,0.029
673.50,0.029
674.00,0.029
674.50,0.029
675.00,0.029
675.50,0.029
676.00,0.029
676.50,0.029
677.00,0.029
677.50,0.029
678.00,0.029
678.50,0.028
679.00,0.028
679.50,0.028
680.00,0.028
680.50,0.028
681.00,0.028
681.50,0.028
682.00,0.028
682.50,0.028
683.00,0.028
683.50,0.028
684.00,0.028
684.50,0.028
685.00,0.027
685.50,0.027
686.00,0.027
686.50,0.027
687.00,0.027
687.50,0.027
688.00,0.027
688.50,0.027
689.00,0.027
689.50,0.027
690.00,0.027
690.50,0.027
691.00,0.027
691.50,0.026
692.00,0.026
692.50,0.026
693.00,0.026
693.50,0.026
694.00,0.026
694.50,0.026
695.00,0.026
695.50,0.026
696.00,0.026
696.50,0.026
697.00,0.026
697.50,0.025
698.00,0.025
698.50,0.025
699.00,0.025
699.50,0.025
700.00,0.025
700.50,0.025
701.00,0.025
701.50,0.025
702.00,0.025
702.50,0.025
703.00,0.025
703.50,0.025
704.00,0.025
704.50,0.025
705.00,0.025
705.50,0.024
706.00,0.024
706.50,0.024
707.00,0.024
707.50,0.024
708.00,0.024
708.50,0.024
709.00,0.024
709.50,0.024
710.00,0.024
710.50,0.024
711.00,0.024
711.50,0.024
712.00,0.024
712.50,0.024
713.00,0.024
713.50,0.024
714.00,0.024
714.50,0.024
715.00,0.024
715.50,0.024
716.00,0.024
716.50,0.024
717.00,0.024
717.50,0.024
718.00,0.024
718.50,0.023
719.00,0.024
719.50,0.023
720.00,0.023
720.50,0.023
721.00,0.023
721.50,0.023
722.00,0.023
722.50,0.023
723.00,0.023
723.50,0.023
724.00,0.023
724.50,0.023
725.00,0.023
725.50,0.023
726.00,0.023
726.50,0.023
727.00,0.023
727.50,0.023
728.00,0.023
728.50,0.023
729.00,0.023
729.50,0.023
730.00,0.023
730.50,0.023
731.00,0.023
731.50,0.023
732.00,0.023
732.50,0.023
733.00,0.023
733.50,0.023
734.00,0.023
734.50,0.023
735.00,0.023
735.50,0.023
736.00,0.023
736.50,0.023
737.00,0.023
737.50,0.023
738.00,0.023
738.50,0.023
739.00,0.023
739.50,0.023
740.00,0.023
740.50,0.023
741.00,0.023
741.50,0.023
742.00,0.023
742.50,0.023
743.00,0.023
743.50,0.023
744.00,0.023
744.50,0.023
745.00,0.023
745.50,0.023
746.00,0.023
746.50,0.023
747.00,0.023
747.50,0.023
748.00,0.023
748.50,0.023
749.00,0.023
749.50,0.023
750.00,0.023
750.50,0.023
751.00,0.023
751.50,0.023
752.00,0.023
752.50,0.023
753.00,0.023
753.50,0.023
754.00,0.023
754.50,0.023
755.00,0.023
755.50,0.023
756.00,0.023
756.50,0.023
757.00,0.023
757.50,0.023
758.00,0.023
758.50,0.023
759.00,0.023
759.50,0.023
760.00,0.023
760.50,0.023
761.00,0.023
761.50,0.023
762.00,0.023
762.50,0.023
763.00,0.023
763.50,0.023
764.00,0.023
764.50,0.023
765.00,0.023
765.50,0.023
766.00,0.023
766.50,0.023
767.00,0.023
767.50,0.023
768.00,0.023
768.50,0.023
769.00,0.023
769.50,0.023
770.00,0.023
770.50,0.023
771.00,0.023
771.50,0.023
772.00,0.023
772.50,0.023
773.00,0.023
773.50,0.023
774.00,0.023
774.50,0.023
775.00,0.023
775.50,0.023
776.00,0.023
776.50,0.023
777.00,0.023
777.50,0.023
778.00,0.023
778.50,0.023
779.00,0.023
779.50,0.023
780.00,0.023
780.50,0.023
781.00,0.023
781.50,0.023
782.00,0.023
782.50,0.023
783.00,0.023
783.50,0.023
784.00,0.023
784.50,0.023
785.00,0.023
785.50,0.023
786.00,0.023
786.50,0.023
787.00,0.023
787.50,0.023
788.00,0.023
788.50,0.023
789.00,0.023
789.50,0.023
790.00,0.023
790.50,0.023
791.00,0.023
791.50,0.023
792.00,0.023
792.50,0.023
793.00,0.023
793.50,0.023
794.00,0.023
794.50,0.023
795.00,0.023
795.50,0.024
796.00,0.024
796.50,0.024
797.00,0.024
797.50,0.023
798.00,0.023
798.50,0.023
799.00,0.024
799.50,0.024
800.00,0.024
800.50,0.024
801.00,0.024
801.50,0.024
802.00,0.024
802.50,0.024
803.00,0.024
803.50,0.024
804.00,0.024
804.50,0.024
805.00,0.024
805.50,0.024
806.00,0.024
806.50,0.024
807.00,0.024
807.50,0.024
808.00,0.024
808.50,0.024
809.00,0.024
809.50,0.024
810.00,0.024
810.50,0.024
811.00,0.024
811.50,0.024
812.00,0.024
812.50,0.024
813.00,0.024
813.50,0.024
814.00,0.024
814.50,0.024
815.00,0.024
815.50,0.024
816.00,0.024
816.50,0.024
817.00,0.024
817.50,0.025
818.00,0.025
818.50,0.025
819.00,0.025
819.50,0.025
820.00,0.025
820.50,0.025
821.00,0.025
821.50,0.025
822.00,0.025
822.50,0.025
823.00,0.025
823.50,0.025
824.00,0.025
824.50,0.025
825.00,0.025
825.50,0.025
826.00,0.025
826.50,0.025
827.00,0.025
827.50,0.025
828.00,0.025
828.50,0.025
829.00,0.025
829.50,0.025
830.00,0.025
830.50,0.025
831.00,0.025
831.50,0.025
832.00,0.025
832.50,0.025
833.00,0.025
833.50,0.025
834.00,0.025
834.50,0.025
835.00,0.025
835.50,0.025
836.00,0.025
836.50,0.025
837.00,0.025
837.50,0.025
838.00,0.025
838.50,0.025
839.00,0.025
839.50,0.026
840.00,0.026
840.50,0.025
841.00,0.026
841.50,0.026
842.00,0.026
842.50,0.026
843.00,0.026
843.50,0.026
844.00,0.026
844.50,0.026
845.00,0.026
845.50,0.026
846.00,0.026
846.50,0.026
847.00,0.026
847.50,0.026
848.00,0.026
848.50,0.026
849.00,0.026
849.50,0.026
850.00,0.026
850.50,0.026
851.00,0.026
851.50,0.026
852.00,0.026
852.50,0.026
853.00,0.026
853.50,0.026
854.00,0.026
854.50,0.026
855.00,0.026
855.50,0.026
856.00,0.026
856.50,0.026
857.00,0.026
857.50,0.027
858.00,0.027
858.50,0.027
859.00,0.027
859.50,0.027
860.00,0.027
860.50,0.027
861.00,0.027
861.50,0.027
862.00,0.027
862.50,0.027
863.00,0.027
863.50,0.027
864.00,0.027
864.50,0.027
865.00,0.028
865.50,0.028
866.00,0.028
866.50,0.028
867.00,0.028
867.50,0.028
868.00,0.028
868.50,0.028
869.00,0.028
869.50,0.028
870.00,0.028
870.50,0.028
871.00,0.028
871.50,0.029
872.00,0.029
872.50,0.029
873.00,0.029
873.50,0.029
874.00,0.029
874.50,0.029
875.00,0.029
875.50,0.029
876.00,0.029
876.50,0.029
877.00,0.029
877.50,0.029
878.00,0.029
878.50,0.029
879.00,0.029
879.50,0.029
880.00,0.029
880.50,0.029
881.00,0.028
881.50,0.028
882.00,0.028
882.50,0.029
883.00,0.029
883.50,0.029
884.00,0.029
884.50,0.028
885.00,0.028
885.50,0.028
886.00,0.028
886.50,0.029
887.00,0.028
887.50,0.028
888.00,0.028
888.50,0.028
889.00,0.028
889.50,0.028
890.00,0.028
890.50,0.028
891.00,0.028
891.50,0.029
892.00,0.029
892.50,0.029
893.00,0.029
893.50,0.029
894.00,0.029
894.50,0.029
895.00,0.029
895.50,0.029
896.00,0.029
896.50,0.029
897.00,0.029
897.50,0.029
898.00,0.028
898.50,0.028
899.00,0.028
899.50,0.028
900.00,0.028
900.50,0.028
901.00,0.028
901.50,0.028
902.00,0.027
902.50,0.026
903.00,0.027
903.50,0.028
904.00,0.029
904.50,0.029
905.00,0.030
905.50,0.030
906.00,0.030
906.50,0.028
907.00,0.028
907.50,0.028
908.00,0.027
908.50,0.028
909.00,0.028
909.50,0.028
910.00,0.028
910.50,0.028
911.00,0.027
911.50,0.028
912.00,0.029
912.50,0.029
913.00,0.029
913.50,0.029
914.00,0.029
914.50,0.028
915.00,0.027
915.50,0.027
916.00,0.026
916.50,0.026
917.00,0.026
917.50,0.026
918.00,0.028
918.50,0.028
919.00,0.027
919.50,0.026
920.00,0.025
920.50,0.025
921.00,0.025
921.50,0.025
922.00,0.026
922.50,0.026
923.00,0.026
923.50,0.026
924.00,0.025
924.50,0.024
925.00,0.024
925.50,0.025
926.00,0.025
926.50,0.025
927.00,0.024
927.50,0.024
928.00,0.025
928.50,0.026
929.00,0.025
929.50,0.026
930.00,0.026
930.50,0.026
931.00,0.026
931.50,0.025
932.00,0.025
932.50,0.024
933.00,0.025
933.50,0.025
934.00,0.024
934.50,0.025
935.00,0.025
935.50,0.024
936.00,0.025
936.50,0.027
937.00,0.027
937.50,0.026
938.00,0.028
938.50,0.028
939.00,0.026
939.50,0.027
940.00,0.026
940.50,0.025
941.00,0.024
941.50,0.026
